clean_comment,char_length,word_count,sentiment_label,sentiment_score,confidence,prob_positive,prob_neutral,prob_negative
tajam teguh prestasi butuh prestasi,35,5,positive,0,0.91159326,0.91159326,0.041945968,0.04646071
duuuuhhh ampun gw mah sm laku polri asli speechless bgt,55,10,positive,0,0.9134296,0.9134296,0.008985215,0.07758519
orang benarbenar cerdas lemah masyarakat indonesia yg religius mudah kelompok orang masuk ranah yg sensitif otomatis aman konten youtube netizent indonesia gandrung cannel orang orang jalur mayoritas salut cerdas,212,29,positive,0,0.49669933,0.49669933,0.00960516,0.4936955
nemu polisi lingkung yg jujur kerja ga males2an,47,8,positive,0,0.9904941,0.9904941,0.00816281,0.0013430777
fakta nyata,11,2,positive,0,0.97449976,0.97449976,0.016858524,0.008641703
mahkota king,12,2,positive,0,0.7103853,0.7103853,0.2394472,0.05016745
real,4,1,positive,0,0.8738683,0.8738683,0.016675841,0.10945583
yg foto2 lho beneeer bgt,24,5,positive,0,0.9830403,0.9830403,0.013978809,0.0029808704
kelas,5,1,positive,0,0.6522912,0.6522912,0.048753936,0.2989549
jujur,5,1,positive,0,0.99447894,0.99447894,0.004390645,0.0011303617
rill tsunami fakta gak bendung,30,5,positive,0,0.65177274,0.65177274,0.024981808,0.32324544
lahhhh daerah ku,16,3,positive,0,0.7671714,0.7671714,0.09348431,0.1393443
fakta bgt,9,2,positive,0,0.9357519,0.9357519,0.007879918,0.056368202
eitssss,7,1,positive,0,0.8993395,0.8993395,0.011266257,0.08939427
emang bener reformasi polisi,28,4,positive,0,0.70300204,0.70300204,0.040116616,0.25688133
kinggg,6,1,positive,0,0.9759183,0.9759183,0.0051552295,0.018926483
jujur sekaliiiii,16,2,positive,0,0.9937453,0.9937453,0.0035406428,0.0027139697
bener nganter anak ku sekolah nya ngebantu nyebrangin anak anak sekolah asyik foto foto lapor biar liat kerja sebrangi anak,123,20,positive,0,0.8125967,0.8125967,0.02292631,0.16447695
bner fto ngajak orang yg lgi nongkrong poko citra banget,56,10,positive,0,0.8034372,0.8034372,0.008266047,0.18829675
a1,2,1,positive,0,0.57459354,0.57459354,0.33337277,0.092033654
realeated kota kaya wkwkwk,26,4,positive,0,0.8900496,0.8900496,0.011147476,0.09880288
