clean_comment,char_length,word_count
hacker lapang males patroli malam kalo pagi foto empat foto gerak kalo duit alam 2x lapor hilang kertas doang gak tindak gilir bikin ivent kasih amplop bantuin usaha ane tkp karna karyawan libat selisih buka musti urus terang an 4 juta ijin usaha gk oknum karna pas kantor kalo 1 kantor oknum gak ubah karna watak berita viral oknum tangkap ujung2nya yg jaga temen gak senasip narapidana,387,67
perintah bjorka tangkap bjorka typing,37,5
indonesia kurang orang pinter kurang orang jujur orang indonesia jujur indonesia negara maju,92,13
bjorka hebat mata rakyat indonesia cari publikasi data jabat korup bukti korupsi basmi korupsi negara,101,15
inget milu 2004 partai gambar ganti buahbuahan perintah tangkap kriminal swasta negeri rekrut teknisi profesional laku admin salah warnet jogja cmiiw,149,21
rakyat udah pinter kali aja pake primitif wkwkwk bjorka ketawa pojok noh,72,12
ahh indonesia paham kerja polisi masyarakat elus dada ujung tertawa bahak bahak dagel,85,13
sebaik2 manusia yg manfaat orang seburuk2 manusia polisi indonesia,66,9
bjorka hibur cerdas masyarakat,30,4
tajam teguh prestasi butuh prestasi,35,5
ajar kalo nyari karyawan sogok kenal keluarga yg mampu umur didik agama ras gender,82,14
indonesia gak kurang orang pintar kurang orang jujur,52,8
ketawa gurulih bgt tertawa instansi mabes polri,47,7
inget kata2 ter ris imam samudra anak muda kalo gak ajar teknologi cari duit kaya isilop isilop 6 kerja dapet 18 jt yg kuasa teknologi gaji 1 gaji isilop 6,155,30
duuuuhhh ampun gw mah sm laku polri asli speechless bgt,55,10
plot twist bjorka nya podcastt auuuuuuuuu,41,6
anak pimpin nama purnawan efendi anak laki2 mukin umur 30an anak normal umumnyapas kelas sd 3 anak sakit panas n sutik ahirnya anak lumpuh kaki tp ajar internet kuasa allah anak pintar n ahli komputer n anakanak kuliah yg ajar beliau simpul stiap kurang lebih,259,45
gara2 bikin akun nama bjorka polisi tuduh bjorka asli gua ketawa dengar terang,78,13
bjorka klo lu baca sen gw guna ahli utk buka busuk jahat negeri cara sbg bukti nasionalisme republik indonesia,110,19
orang benarbenar cerdas lemah masyarakat indonesia yg religius mudah kelompok orang masuk ranah yg sensitif otomatis aman konten youtube netizent indonesia gandrung cannel orang orang jalur mayoritas salut cerdas,212,29
tsunami fakta,13,2
fakta,5,1
nemu polisi lingkung yg jujur kerja ga males2an,47,8
fakta nyata,11,2
mahkota king,12,2
fakta negara hukum tugas hukum,30,5
suka kak patroli malem tp nyamperin kang miras kang parkir tmpat karoke club malem bar trus salam,97,17
real,4,1
yg foto2 lho beneeer bgt,24,5
laku cipta lapang kerja sulit pdhl dampak kurang miskin negara sangt pengaruh sulit gmna ormas2 bs ikut jatah y yg anggap lindung rakyat aja malak harusny 1 kantor pecat aja smuanya miskin klo hukum mati 1 kantor biar ad efek jera g brni lgi main dgn hukum jamin negara ni maju kayk china,288,53
bener banget ngalamin lari pagi mobil polisi mberhentiin sy salah eeee tau suruh motoin doang,93,15
bener sih patroli rutin cegah jahat lha cegah kagak kalo warga nangkep maling dibebasin,87,14
bjorka yg level dewa bandar judol yg mata aja gak tangkap,57,11
liat polisi poto2 doang perut buncit2,37,6
oalah wkwkwk,12,2
kelas,5,1
faktaa alm kakak bayi rumah persis warung soto pake live musik ganggu banget volume keras pol nyanyi mabok udah tegur gak ngaruh lapor rt rtnya kakak warung lapor babinsa suruh kantor polsek sampe polsek polisi bilang terang2an duit mas ngurusin urus begitu anjeng,264,43
banget polri raport nya metah bingit,36,6
yah cermin mayoritas rakyat indonesia wkwkwkkw,46,6
pelan pelan bang,16,3
posisi gonjang ganjing,22,3
oknum indonesia bg hahahaha,27,4
kam masyarakat kerja aja cuman 8jam 2jam lapang pagi doank itu gk 7x24jam 2x dlm minggu parah bed,97,18
polisi gitu ga oknum,20,4
ko bener sihb,13,3
banget makan gaji buta doang kerja,34,6
gilir g pke helm pas tikung udah bae yg nyegat nilang,53,11
iya hedeh hedeh,15,3
hujan terang fakta,18,3
tilang dimintain uang 250k yg hebat lgi pungli besarbesaran ramai yg dalam kantor polresta pangkal pinang bangka belitung kantor loh luar korban 2030 org hitung aja tuh 25030 org polisi yg libat jg bnyak 10 org jdi oknum tpi emg polisi nya polresta pangkal pinang provinsi pulau bangka belitung,294,49
sinar,5,1
bang pelan pelan kasih fakta terang,35,6
jujur,5,1
rill tsunami fakta gak bendung,30,5
polisi nyrik heker tukang intimidasi beking usaha top 1 dunia,61,10
iya bener awas bang takut tukang nasi goreng rumah bawa beceng,62,11
priiittt tunjuk sim stnk salah fakta,36,6
hilang 2 kali kendaran kaga tindak bertahuntahun ujung ikhlas males lapor,73,11
silau bang,10,2
asumsi cerita orang,19,3
lahhhh daerah ku,16,3
yg tangkep orang yg rugi bandar judol,37,7
hilang bu hong kong hilang dopet uang hp ktp hong kong atm hk lapor polisi hong kong kasih kertas lapor hilang ktp atm bikin ktp atm polisi cari tas yg hilang tinggal yg hilang bu bodoh km,188,37
fakta bgt,9,2
nama robot nih,14,3
awok wadidaw,12,2
udah rahasia ga ubah,20,4
eitssss,7,1
lapor polisi adik hilang 3 thn fakta nya polisi uang biar nyari,63,12
bikin surat hilang motor aja suruh bayar 25jt bulan puter2 kalo tindak lanjut paro harga motor,94,16
gw nangkap maling lapor polisi2 jam suruh lepasin maling nya isilop maling 5jt biar lepas udh hancur negri,106,18
minggu gw liat polisi pas pagi d potodoang perepat lngsung pulanh wkwk,70,12
emang bener reformasi polisi,28,4
keluarga peras polisi kerjasama oknum jabat lurah nuntut 1 m salah yg laku,74,13
lapor ilang motor eh proses dah kayak ilang mobil,49,9
kinggg,6,1
motor hilang temu ngambil palak sm kanit reskrim ank buah mnta duit rokok parah wes,83,15
jujur sekaliiiii,16,2
bener nganter anak ku sekolah nya ngebantu nyebrangin anak anak sekolah asyik foto foto lapor biar liat kerja sebrangi anak,123,20
fakta yg tutup,14,3
gw orang yg tuju kalo institusi polisi tni gak kapolri kapolrian,64,11
gua bang kena begal syukur ngga diapaapain cumn ambil doang motor nya anggota nya ngomong ko begal kaga saksi,109,19
bner fto ngajak orang yg lgi nongkrong poko citra banget,56,10
real habis foto pulang ngatur lalulintas pakogah,48,7
a1,2,1
realeated kota kaya wkwkwk,26,4
cahaya tuan,11,2
fakta polisi mh gitu 999 gausah oknum deh dah muak,50,10
polisi konoha,13,2
gilak gw penah fakta terang,27,5
