bigram,frequency
saja tidak,41
bandar judol,31
salah tangkap,29
nangkep bjorka,26
orang yang,23
tuhan yesus,22
tangkap bjorka,20
nangkep hacker,20
nangkap bjorka,20
sudah tidak,19
alih isu,18
bjorka yang,17
lapor polisi,17
tidak tau,17
bjorka tangkap,16
polisi konoha,15
yang tangkap,15
polisi indonesia,14
judol saja,14
bjorka asli,13
tuhan tuhan,13
polisi yang,12
anak punk,12
rakyat indonesia,11
polisi tidak,11
cyber security,11
nangkap hacker,11
plot twist,10
anak anak,10
yang sudah,10
kalau bjorka,10
yesus tuhan,10
bjorka orang,10
kerja polisi,9
orang orang,9
hilang motor,9
polisi tidur,9
maling motor,9
sudah tau,9
polisi nangkep,9
yang asli,9
bjorka nonton,9
kalau tidak,8
motor saja,8
saja sudah,8
nya bjorka,8
hacker yang,8
tidak prestasi,8
tidak percaya,8
bjorka nya,7
nama bjorka,7
bjorka polisi,7
bener banget,7
yang tangkep,7
hacker tidak,7
jasa raharja,7
yang tidak,7
tidak kerja,7
polisi polisi,7
nya tidak,7
polisi kerja,7
lulus sama,7
bjorka sudah,7
main judol,7
tidak yang,7
polisi salah,7
facebluesmiling facebluesmiling,7
tangkap yang,7
kerja perintah,7
tau tidak,7
tangkap polisi,7
hacker kelas,7
kurang orang,6
orang jujur,6
indonesia tidak,6
anak muda,6
kerja tidak,6
nangkep maling,6
judol yang,6
tidak tangkap,6
polisi nya,6
nya polisi,6
suruh bayar,6
nangkap maling,6
kambing hitam,6
temen saya,6
kalau polisi,6
bjorka biar,6
saja yang,6
roy suryo,6
saya sudah,6
bjorka tidak,6
hacker bjorka,6
anak indonesia,6
bjorka ketangkep,6
saya percaya,6
saja susah,6
nya saja,6
bjorka muncul,6
bug bounty,6
polisi nangkap,6
fufufafa saja,6
foto empat,5
lapor hilang,5
nya yang,5
orang pinter,5
orang indonesia,5
prestasi butuh,5
kalau kamu,5
indonesia yang,5
lapang kerja,5
memang polisi,5
foto foto,5
institusi polisi,5
saya kena,5
itu polisi,5
yang bikin,5
harga tanah,5
tau polisi,5
bener bener,5
duit duit,5
laku polisi,5
polisi kalau,5
kalau tau,5
tidak dapet,5
yang salah,5
masuk polisi,5
maling saja,5
yang tau,5
kamu pikir,5
salah tangkep,5
kamu bang,5
anak autis,5
anak yang,5
nangkap bandar,5
tidak ketangkep,5
nonton ini,5
bang teguh,5
mas teguh,5
tuhan bantu,5
butuh khusus,5
tidak nangkap,5
percaya polisi,5
bocor data,5
the accountant,5
doang tidak,4
ujung nya,4
jabat korup,4
sudah pinter,4
yang jujur,4
itu orang,4
tangkep orang,4
rugi bandar,4
yang hilang,4
saja suruh,4
harga motor,4
memang bener,4
yang laku,4
biar liat,4
liat kerja,4
yang bayar,4
suka bener,4
kasih tau,4
tidak butuh,4
tanah kosong,4
tidak itu,4
tidak malu,4
polisi orang,4
negara indonesia,4
yang yang,4
negara konoha,4
nya sudah,4
bjorka anak,4
polisi india,4
liat berita,4
berita yang,4
sudah bilang,4
yang bahas,4
jual data,4
barang bukti,4
orang nya,4
tidak takut,4
gampang banget,4
kenapa tidak,4
kalau perintah,4
kalau sudah,4
tidak bisa,4
malu maluin,4
cyber indonesia,4
saya tidak,4
makan minum,4
tidak bayar,4
tidak mudah,4
twist nya,4
teguh aprianto,4
perintah orang,4
bjorka nangkap,4
nangkep bandar,4
tidak nangkep,4
polisi indo,4
yang ditangkep,4
nyari data,4
yang bilang,4
tau bjorka,4
tidak becus,4
puluh juta,4
pola pikir,4
ini orang,4
doa tuhan,4
tuhan surga,4
surga tuhan,4
bantu manusia,4
onno purbo,4
ded undang,4
bikin malu,4
curiga bjorka,4
bantu perintah,4
polisi saja,4
biar tidak,4
film the,4
kalau bener,4
kelas bjorka,4
saja salah,4
facefuchsiatongueout facefuchsiatongueout,4
akun fufufafa,4
yang nangkep,4
patroli malam,3
kalau pagi,3
pagi foto,3
kertas doang,3
tidak tindak,3
tidak oknum,3
oknum karna,3
perintah bjorka,3
rakyat sudah,3
saja pake,3
bjorka ketawa,3
kalau nyari,3
bikin akun,3
akun nama,3
bjorka kalau,3
yang foto,3
hukum mati,3
suruh motoin,3
mata saja,3
liat polisi,3
kerja saja,3
polisi gitu,3
makan gaji,3
gaji buta,3
yang hebat,3
fakta terang,3
hong kong,3
saya liat,3
reformasi polisi,3
motor hilang,3
anak sekolah,3
polisi tni,3
kerja yang,3
cari kambing,3
tidak yaa,3
bobrok institusi,3
kantor polisi,3
gila tidak,3
memang lawak,3
banget bang,3
kalau ngomong,3
ngomong suka,3
polisi patroli,3
tidak heran,3
dari situ,3
tidak tidak,3
kamu yang,3
tidak terima,3
instansi perintah,3
kamu sudah,3
luas tanah,3
tanah luas,3
luas bangun,3
lokasi jln,3
jln kedung,3
kedung baruk,3
jln raya,3
yang maling,3
yang ambil,3
saja lapor,3
susah kalau,3
bener bang,3
polisi pake,3
banget liat,3
saya ketangkep,3
kaya gitu,3
gua gua,3
tidak berani,3
apa tidak,3
kali polisi,3
yang komen,3
motor lapor,3
gitu saja,3
warga negara,3
temen yang,3
polisi negara,3
negara polisi,3
kena tipu,3
tidak liat,3
ijazah palsu,3
lucu banget,3
nya bilang,3
kena prank,3
sok tau,3
cari kerja,3
polisi malu,3
hacker nangkep,3
perintah konoha,3
data koruptor,3
tangkap tidak,3
tidak dpt,3
tau yang,3
tau saja,3
kamu saja,3
orang korup,3
bjorka trus,3
yang gua,3
ketawa liat,3
gua yang,3
seperti tidak,3
tegak hukum,3
yang jadi,3
bang saya,3
ambil data,3
lagi yang,3
yang main,3
sudah gitu,3
negara saja,3
sudah tangkap,3
tapi bjorka,3
bjorka alih,3
yang nama,3
susah nangkep,3
aman cyber,3
keras kepala,3
asli nya,3
anak bangsa,3
web perintah,3
kek sudah,3
polisi tangkap,3
malu tidak,3
judol tidak,3
bjorka haha,3
kenapa hacker,3
tapi tidak,3
tidak harga,3
judol bandar,3
cctv saja,3
atm kosong,3
judol itu,3
tangkap main,3
keren polisi,3
indo yang,3
tangkap nya,3
bikin lapor,3
tidak kalau,3
ahli cyber,3
milik akun,3
orang saja,3
saja males,3
yang gede,3
yang masuk,3
yang pake,3
saya pikir,3
latih hacker,3
bjorka bjorka,3
jabat tidak,3
bjorka jadi,3
ketangkep warga,3
banyak nonton,3
inget film,3
lucu polisi,3
