original_comment,cleaned_comment
hacker lapang males patroli malam kalo pagi foto empat foto gerak kalo duit alam 2x lapor hilang kertas doang gak tindak gilir bikin ivent kasih amplop bantuin usaha ane tkp karna karyawan libat selisih buka musti urus terang an 4 juta ijin usaha gk oknum karna pas kantor kalo 1 kantor oknum gak ubah karna watak berita viral oknum tangkap ujung2nya yg jaga temen gak senasip narapidana,hacker lapang males patroli malam kalo pagi foto empat foto gerak kalo duit alam lapor hilang kertas doang gak tindak gilir bikin ivent kasih amplop bantuin usaha ane tkp karna karyawan libat selisih buka musti urus terang juta ijin usaha oknum karna pas kantor kalo kantor oknum gak ubah karna watak berita viral oknum tangkap ujung jaga temen gak senasip narapidana
perintah bjorka tangkap bjorka typing,perintah bjorka tangkap bjorka typing
indonesia kurang orang pinter kurang orang jujur orang indonesia jujur indonesia negara maju,indonesia kurang orang pinter kurang orang jujur orang indonesia jujur indonesia negara maju
bjorka hebat mata rakyat indonesia cari publikasi data jabat korup bukti korupsi basmi korupsi negara,bjorka hebat mata rakyat indonesia cari publikasi data jabat korup bukti korupsi basmi korupsi negara
inget milu 2004 partai gambar ganti buahbuahan perintah tangkap kriminal swasta negeri rekrut teknisi profesional laku admin salah warnet jogja cmiiw,inget milu partai gambar ganti buahbuahan perintah tangkap kriminal swasta negeri rekrut teknisi profesional laku admin salah warnet jogja cmiiw
rakyat udah pinter kali aja pake primitif wkwkwk bjorka ketawa pojok noh,rakyat udah pinter kali pake primitif bjorka ketawa pojok noh
ahh indonesia paham kerja polisi masyarakat elus dada ujung tertawa bahak bahak dagel,ahh indonesia paham kerja polisi masyarakat elus dada ujung tertawa bahak bahak dagel
sebaik2 manusia yg manfaat orang seburuk2 manusia polisi indonesia,baik manusia manfaat orang buruk manusia polisi indonesia
bjorka hibur cerdas masyarakat,bjorka hibur cerdas masyarakat
tajam teguh prestasi butuh prestasi,tajam teguh prestasi butuh prestasi
ajar kalo nyari karyawan sogok kenal keluarga yg mampu umur didik agama ras gender,ajar kalo nyari karyawan sogok kenal keluarga mampu umur didik agama ras gender
indonesia gak kurang orang pintar kurang orang jujur,indonesia gak kurang orang pintar kurang orang jujur
ketawa gurulih bgt tertawa instansi mabes polri,ketawa gurulih bgt tertawa instansi mabes polri
inget kata2 ter ris imam samudra anak muda kalo gak ajar teknologi cari duit kaya isilop isilop 6 kerja dapet 18 jt yg kuasa teknologi gaji 1 gaji isilop 6,inget kata ter ris imam samudra anak muda kalo gak ajar teknologi cari duit kaya isilop isilop kerja dapet kuasa teknologi gaji gaji isilop
duuuuhhh ampun gw mah sm laku polri asli speechless bgt,duuuuhhh ampun mah laku polri asli speechless bgt
plot twist bjorka nya podcastt auuuuuuuuu,plot twist bjorka podcastt auuuuuuuuu
anak pimpin nama purnawan efendi anak laki2 mukin umur 30an anak normal umumnyapas kelas sd 3 anak sakit panas n sutik ahirnya anak lumpuh kaki tp ajar internet kuasa allah anak pintar n ahli komputer n anakanak kuliah yg ajar beliau simpul stiap kurang lebih,anak pimpin nama purnawan efendi anak laki mukin umur anak normal umumnyapas kelas anak sakit panas sutik ahirnya anak lumpuh kaki ajar internet kuasa allah anak pintar ahli komputer anakanak kuliah ajar beliau simpul stiap kurang lebih
gara2 bikin akun nama bjorka polisi tuduh bjorka asli gua ketawa dengar terang,gara bikin akun nama bjorka polisi tuduh bjorka asli gua ketawa dengar terang
bjorka klo lu baca sen gw guna ahli utk buka busuk jahat negeri cara sbg bukti nasionalisme republik indonesia,bjorka klo baca sen ahli utk buka busuk jahat negeri cara sbg bukti nasionalisme republik indonesia
orang benarbenar cerdas lemah masyarakat indonesia yg religius mudah kelompok orang masuk ranah yg sensitif otomatis aman konten youtube netizent indonesia gandrung cannel orang orang jalur mayoritas salut cerdas,orang benarbenar cerdas lemah masyarakat indonesia religius mudah kelompok orang masuk ranah sensitif otomatis aman konten youtube netizent indonesia gandrung cannel orang orang jalur mayoritas salut cerdas
tsunami fakta,tsunami fakta
fakta,fakta
nemu polisi lingkung yg jujur kerja ga males2an,nemu polisi lingkung jujur kerja malesan
fakta nyata,fakta nyata
mahkota king,mahkota king
fakta negara hukum tugas hukum,fakta negara hukum tugas hukum
suka kak patroli malem tp nyamperin kang miras kang parkir tmpat karoke club malem bar trus salam,suka patroli malem nyamperin kang miras kang parkir tmpat karoke club malem bar trus salam
real,real
yg foto2 lho beneeer bgt,foto lho beneeer bgt
laku cipta lapang kerja sulit pdhl dampak kurang miskin negara sangt pengaruh sulit gmna ormas2 bs ikut jatah y yg anggap lindung rakyat aja malak harusny 1 kantor pecat aja smuanya miskin klo hukum mati 1 kantor biar ad efek jera g brni lgi main dgn hukum jamin negara ni maju kayk china,laku cipta lapang kerja sulit pdhl dampak kurang miskin negara sangt pengaruh sulit gmna ormas ikut jatah anggap lindung rakyat malak harusny kantor pecat smuanya miskin klo hukum mati kantor biar efek jera brni lgi main hukum jamin negara maju kayk china
bener banget ngalamin lari pagi mobil polisi mberhentiin sy salah eeee tau suruh motoin doang,bener banget ngalamin lari pagi mobil polisi mberhentiin salah eeee tau suruh motoin doang
bener sih patroli rutin cegah jahat lha cegah kagak kalo warga nangkep maling dibebasin,bener patroli rutin cegah jahat lha cegah kagak kalo warga nangkep maling dibebasin
bjorka yg level dewa bandar judol yg mata aja gak tangkap,bjorka level dewa bandar judol mata gak tangkap
liat polisi poto2 doang perut buncit2,liat polisi poto doang perut buncit
oalah wkwkwk,oalah
kelas,kelas
faktaa alm kakak bayi rumah persis warung soto pake live musik ganggu banget volume keras pol nyanyi mabok udah tegur gak ngaruh lapor rt rtnya kakak warung lapor babinsa suruh kantor polsek sampe polsek polisi bilang terang2an duit mas ngurusin urus begitu anjeng,faktaa alm kakak bayi rumah persis warung soto pake live musik ganggu banget volume keras pol nyanyi mabok udah tegur gak ngaruh lapor rtnya kakak warung lapor babinsa suruh kantor polsek sampe polsek polisi bilang terang duit mas ngurusin urus anjeng
banget polri raport nya metah bingit,banget polri raport metah bingit
yah cermin mayoritas rakyat indonesia wkwkwkkw,yah cermin mayoritas rakyat indonesia wkwkwkkw
pelan pelan bang,pelan pelan
posisi gonjang ganjing,posisi gonjang ganjing
oknum indonesia bg hahahaha,oknum indonesia hahahaha
kam masyarakat kerja aja cuman 8jam 2jam lapang pagi doank itu gk 7x24jam 2x dlm minggu parah bed,kam masyarakat kerja cuman jam jam lapang pagi doank xjam dlm minggu parah bed
polisi gitu ga oknum,polisi gitu oknum
ko bener sihb,bener sihb
banget makan gaji buta doang kerja,banget makan gaji buta doang kerja
gilir g pke helm pas tikung udah bae yg nyegat nilang,gilir pke helm pas tikung udah bae nyegat nilang
iya hedeh hedeh,hedeh hedeh
hujan terang fakta,hujan terang fakta
tilang dimintain uang 250k yg hebat lgi pungli besarbesaran ramai yg dalam kantor polresta pangkal pinang bangka belitung kantor loh luar korban 2030 org hitung aja tuh 25030 org polisi yg libat jg bnyak 10 org jdi oknum tpi emg polisi nya polresta pangkal pinang provinsi pulau bangka belitung,tilang dimintain uang hebat lgi pungli besarbesaran ramai kantor polresta pangkal pinang bangka belitung kantor loh luar korban org hitung tuh org polisi libat bnyak org jdi oknum tpi emg polisi polresta pangkal pinang provinsi pulau bangka belitung
sinar,sinar
bang pelan pelan kasih fakta terang,pelan pelan kasih fakta terang
jujur,jujur
rill tsunami fakta gak bendung,rill tsunami fakta gak bendung
