unigram,frequency
bjorka,382
polisi,371
nya,234
orang,218
hacker,154
tangkap,148
anak,117
tau,116
kerja,115
nangkep,110
indonesia,109
judol,103
bang,100
perintah,92
data,78
bener,77
negara,72
lapor,71
salah,71
nangkap,70
tuhan,60
rakyat,59
gua,57
bikin,55
fakta,53
duit,51
bayar,48
asli,47
uang,46
nama,44
bandar,44
gitu,44
cyber,44
motor,43
konoha,42
ded,42
hilang,40
polri,40
malu,40
jabat,39
keren,39
suruh,38
liat,38
percaya,38
foto,37
oknum,37
pake,37
main,37
bantu,37
mudah,36
ketangkep,36
cari,35
maling,35
jual,35
masyarakat,33
kaya,32
masuk,32
koruptor,32
pinter,31
jujur,31
ketawa,31
tangkep,31
doang,30
bilang,30
indo,30
yesus,30
berita,29
hukum,29
mas,29
karna,28
instansi,27
kena,27
susah,27
buka,26
bukti,26
laku,26
yaa,26
gin,26
alih,26
undang,26
korupsi,25
mah,25
aman,25
takut,25
hasil,25
isu,25
nonton,25
prestasi,24
butuh,24
akun,24
suka,24
langsung,24
bahas,24
pas,23
korup,23
dunia,23
bro,23
hati,23
kek,23
lucu,23
fufufafa,23
pagi,22
temen,22
hebat,22
gaji,22
kelas,22
trus,22
institusi,22
bank,22
byorka,22
sistem,22
kantor,21
nyari,21
sampe,21
makan,21
tuju,21
podcast,21
urus,20
negeri,20
teguh,20
baca,20
rumah,20
harga,20
komen,20
coklat,20
beli,20
ajar,19
dapet,19
cuman,19
muncul,19
jokowi,19
parah,18
jalan,18
dana,18
ladusing,18
kaumrebahanmerapat,18
usaha,17
terang,17
cerdas,17
pintar,17
jahat,17
isi,17
bobrok,17
lawak,17
gampang,17
jago,17
komunitas,17
bocor,17
bobol,17
mampu,16
ahli,16
warga,16
tukang,16
rugi,16
tutup,16
gila,16
tipu,16
video,16
gede,16
rekening,16
nyata,15
real,15
mobil,15
bawa,15
sesuai,15
wkwkw,15
security,15
sok,15
ken,15
ngapain,15
film,15
ijazah,15
hidup,15
ngakak,15
juta,14
isilop,14
guna,14
system,14
beda,14
pangkat,14
ditangkep,14
kocak,14
sadar,14
aneh,14
bos,14
manusia,13
tugas,13
korban,13
surat,13
reformasi,13
sekolah,13
anggota,13
ngomong,13
habis,13
atas,13
modal,13
tanah,13
pakai,13
lulus,13
bjirka,13
bagus,13
bongkar,13
hack,13
punk,13
ngaku,13
ganti,12
hibur,12
plot,12
kelompok,12
cipta,12
miskin,12
kaga,12
tni,12
mending,12
tidur,12
abang,12
emng,12
milik,12
untung,12
deddy,12
latih,12
empat,11
ujung,11
jaga,11
kurang,11
muda,11
kuliah,11
kak,11
anggap,11
mati,11
loh,11
contoh,11
teman,11
pribadi,11
penting,11
aparat,11
lupa,11
bohong,11
buzzer,11
ilmu,11
jaman,11
duduk,11
facebluesmiling,11
narasumber,11
the,11
proxy,11
lapang,10
patroli,10
mata,10
inget,10
umur,10
teknologi,10
twist,10
beliau,10
busuk,10
sulit,10
daerah,10
tinggal,10
ilang,10
kambing,10
abis,10
cocok,10
enak,10
satu,10
kadang,10
atur,10
harap,10
sungguh,10
ehh,10
mimpi,10
aplikasi,10
curiga,10
bug,10
tim,10
khusus,10
gratis,10
kepala,10
web,10
suara,10
swasta,9
keluarga,9
konten,9
pol,9
atm,9
ambil,9
jir,9
boss,9
kosong,9
lokasi,9
polres,9
inti,9
publik,9
cek,9
ama,9
palsu,9
ajak,9
pura,9
kalah,9
india,9
alat,9
wkwkwkwk,9
cuan,9
wkwkwkw,9
mulu,9
pertamina,9
kompeten,9
mrk,9
pelihara,9
mbg,9
lahir,9
males,8
tindak,8
ubah,8
maju,8
rekrut,8
internet,8
bodoh,8
negri,8
proses,8
citra,8
ngopi,8
hitam,8
dukung,8
kasus,8
dpt,8
heran,8
ribu,8
baik,8
dlu,8
sawah,8
luas,8
jln,8
seragam,8
ketemu,8
kuat,8
engga,8
rusak,8
anggar,8
tingkat,8
presiden,8
adil,8
tarik,8
ulang,8
termul,8
rekayasa,8
bela,8
serius,8
pro,8
server,8
dpr,8
kau,8
autis,8
bnyk,8
terus,8
skrng,8
software,8
jaring,8
biorka,8
gaya,8
ginian,8
game,8
gilir,7
amplop,7
viral,7
publikasi,7
pimpin,7
komputer,7
youtube,7
kang,7
ikut,7
lindung,7
awas,7
akses,7
situ,7
jasa,7
raharja,7
turun,7
benci,7
make,7
bangun,7
penuh,7
dasar,7
lembaga,7
tangan,7
anjir,7
donk,7
nanya,7
berani,7
doa,7
pegang,7
obrol,7
besar,7
sana,7
hahaha,7
judul,7
mikir,7
retas,7
ngehack,7
rendah,7
sumpah,7
dedi,7
kayas,7
accountant,7
bego,7
angkat,7
intel,7
klw,7
seru,7
chat,7
muka,7
pinjol,7
info,7
hacking,7
alam,6
kertas,6
basmi,6
pojok,6
manfaat,6
normal,6
sakit,6
allah,6
persis,6
polsek,6
bnyak,6
sim,6
grup,6
bawah,6
saran,6
cair,6
tetangga,6
bisnis,6
fokus,6
lacak,6
mutasi,6
senyum,6
kemaren,6
istri,6
ngk,6
lomba,6
gada,6
hapus,6
lokal,6
bentuk,6
roy,6
suryo,6
kpu,6
politik,6
byk,6
bahasa,6
validasi,6
celah,6
beneran,6
gen,6
uda,6
sdm,6
berat,6
cepat,6
minum,6
sibuk,6
tonton,6
individu,6
situs,6
sebenernya,6
kualitas,6
pilih,6
alias,6
bounty,6
pola,6
dedy,6
polis,6
durray,6
duga,6
buang,6
hat,6
malam,5
admin,5
kuasa,5
mayoritas,5
salam,5
jamin,5
perut,5
live,5
pelan,5
pungli,5
goreng,5
rahasia,5
thn,5
kerjasama,5
palak,5
ank,5
kapolri,5
nyuruh,5
kirim,5
and,5
tiba,5
ngasih,5
curi,5
depan,5
biaya,5
arti,5
silah,5
pergi,5
parcok,5
gtu,5
ngak,5
cabut,5
daftar,5
raya,5
kamar,5
wow,5
people,5
pantes,5
ayam,5
benar,5
sambo,5
skill,5
mesti,5
audit,5
ngurus,5
moga,5
diri,5
daging,5
klaim,5
kelar,5
sederhana,5
btw,5
pramuka,5
nagkep,5
aktif,5
desa,5
rata,5
periksa,5
bingung,5
simpel,5
media,5
maluin,5
bapak,5
baju,5
bahan,5
wakil,5
bagi,5
mreka,5
ribet,5
bnget,5
kacang,5
bsi,5
serang,5
bangsa,5
channel,5
setor,5
cctv,5
puluh,5
website,5
sosmed,5
guling,5
komedi,5
otodidak,5
asik,5
niat,5
becus,5
ngawur,5
surga,5
bangga,5
sapi,5
pecah,5
rame,5
hecker,5
lawan,5
bjorkanya,5
israel,5
cheat,5
facefuchsiatongueout,5
bubar,5
boro,5
ajah,5
ecek,5
gerak,4
typing,4
kriminal,4
warnet,4
jogja,4
noh,4
tertawa,4
bahak,4
mabes,4
simpul,4
gara,4
jalur,4
lingkung,4
king,4
malem,4
dampak,4
gmna,4
malak,4
pecat,4
lari,4
faktaa,4
warung,4
keras,4
buta,4
tilang,4
ramai,4
hitung,4
heker,4
beking,4
tunjuk,4
ktp,4
tas,4
robot,4
adik,4
lepas,4
hancur,4
buah,4
fto,4
pulang,4
gausah,4
sandiwara,4
narkoba,4
smp,4
anjirr,4
kode,4
kendara,4
nebus,4
utama,4
mngkin,4
bukan,4
sepele,4
sekian,4
benerr,4
buset,4
wkwkwkwkwk,4
bri,4
kya,4
kaget,4
rekrutmen,4
sby,4
gas,4
damkar,4
aib,4
yak,4
ilegal,4
senior,4
buruk,4
putih,4
akal,4
sehat,4
kesana,4
lengkap,4
balap,4
kondisi,4
ayo,4
bintang,4
mentok,4
minimal,4
bpk,4
sewa,4
mesin,4
biji,4
dalem,4
selamat,4
kasi,4
mafia,4
betapa,4
tahan,4
kesini,4
nongol,4
kampus,4
prank,4
gimna,4
rencana,4
buru,4
barang,4
puas,4
aje,4
fitnah,4
bangg,4
kpk,4
digital,4
praktek,4
pahlawan,4
peduli,4
tegak,4
haker,4
transfer,4
penjara,4
alir,4
boomer,4
menang,4
gabisa,4
blokir,4
sangka,4
google,4
apk,4
ketat,4
iyaa,4
keliling,4
woy,4
tulis,4
daya,4
ngetawain,4
nikah,4
kilang,4
mlah,4
minyak,4
keinget,4
polisii,4
teori,4
andai,4
resiko,4
taruh,4
sumber,4
aprianto,4
cyberpolice,4
drama,4
haji,4
santai,4
bidang,4
bola,4
nagara,4
alas,4
programer,4
bumn,4
maksud,4
layan,4
numpang,4
test,4
mantan,4
aset,4
bakti,4
wifi,4
hubung,4
cok,4
hnya,4
you,4
vina,4
neng,4
masalah,4
ngobrol,4
legend,4
biarin,4
point,4
wawancara,4
target,4
gatau,4
musuh,4
ciduk,4
script,4
nirvana,4
sukses,4
cita,4
utus,4
simpan,4
sihh,4
mabuk,4
hpnya,4
canggih,4
onno,4
purbo,4
klau,4
jim,4
harun,4
positif,4
denger,4
betah,4
inyiakputiahl,4
njir,4
talenta,4
kacau,4
catat,4
kalimantan,4
urusin,4
gali,4
omm,4
dikadalin,4
ndak,4
hina,4
beres,4
wait,4
ungkap,4
pulisi,4
random,4
loe,4
konotasi,4
libat,3
gambar,3
primitif,3
ter,3
ampun,3
panas,3
sen,3
lemah,3
pdhl,3
efek,3
china,3
ngalamin,3
motoin,3
kagak,3
poto,3
kakak,3
mabok,3
hahahaha,3
kam,3
luar,3
top,3
nasi,3
stnk,3
ikhlas,3
lahh,3
hong,3
kong,3
lurah,3
begal,3
syukur,3
bner,3
kota,3
tuan,3
olah,3
penasaran,3
akar,3
lintas,3
pegawai,3
hmm,3
musibah,3
rampok,3
pintu,3
henti,3
karaoke,3
ituu,3
preman,3
alami,3
lantas,3
selesai,3
singkat,3
ariesbast,3
ngejar,3
fotoin,3
hehehe,3
suap,3
jirr,3
ketua,3
