no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
1,N/A,ANDREAN SAPUTRA 241031001,5,15 jam lalu,N/A,N/A,Tidak
2,N/A,REINALDY ALFARIZI 22.95.0413,5,15 jam lalu,N/A,N/A,Tidak
3,N/A,cornellia sherly,5,15 jam lalu,N/A,N/A,Tidak
4,N/A,Nemboo ups,5,15 jam lalu,N/A,N/A,Tidak
5,N/A,Ilham Arief,5,15 jam lalu,N/A,N/A,Tidak
6,N/A,KKN UMY104,5,15 jam lalu,N/A,N/A,Tidak
7,N/A,AMARA FATWA PUJANGGA -,5,15 jam lalu,N/A,N/A,Tidak
8,N/A,xNemboo,5,15 jam lalu,N/A,N/A,Tidak
9,N/A,rennu aqsha,5,15 jam lalu,N/A,N/A,Tidak
10,N/A,Arya Prayoga,5,1 hari lalu,N/A,N/A,Tidak
11,N/A,Abyyu Risqi,5,1 hari lalu,N/A,N/A,Tidak
12,N/A,Febri Kurniawan febrikurniawan.2022,5,1 hari lalu,N/A,N/A,Tidak
13,N/A,Chrna,5,1 hari lalu,N/A,N/A,Tidak
14,N/A,Lolyl Lodang,5,1 hari lalu,N/A,N/A,Tidak
15,N/A,Hallo Daffa,5,1 hari lalu,N/A,N/A,Tidak
16,N/A,Agus Setyawan,5,1 hari lalu,N/A,N/A,Tidak
17,N/A,Dribs,5,1 hari lalu,N/A,N/A,Tidak
18,N/A,Muhamad Teguh,5,1 hari lalu,Keren lah kata gua teh,N/A,Tidak
19,N/A,KAKAA’ZZ,5,1 hari lalu,yesssss,N/A,Tidak
20,N/A,Muhammad Rizha Herdiansyah,5,1 hari lalu,N/A,N/A,Tidak
21,N/A,Luna Triana,5,1 hari lalu,TEMPATNYA ENAK BANGET GES,N/A,Tidak
22,N/A,Najwah Gyda Putri,5,1 hari lalu,tempatnya asyikk kalo buat nongkrong,N/A,Tidak
23,N/A,Alif Amartia,5,1 hari lalu,N/A,N/A,Tidak
24,N/A,atika yana,5,1 hari lalu,N/A,N/A,Tidak
25,N/A,Fatur Rohman,5,1 hari lalu,N/A,N/A,Tidak
26,N/A,vando effendi,5,2 hari lalu,N/A,N/A,Tidak
27,N/A,Deva Aditya,5,2 hari lalu,N/A,N/A,Tidak
