no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
1,N/A,Fifi Wulan,5,4 menit lalu,"Tempatnya bagus buat foto setiap sudutnya cantik
Kopinya enak aku coba “palma” enak bgt
Baristanya juga ramah
Coba photoboth jugaa cuma 32 k dapet 2 strip, tambah 10k dapet 2strip lagi",N/A,Tidak
2,N/A,Andinni Naila,5,2 jam lalu,"Tempatnya nyaman banget sih buat ngobrol? santai, prlayanannya juga oke",N/A,Tidak
3,N/A,Fauzi Ishak,5,2 jam lalu,N/A,N/A,Tidak
4,N/A,sihabul ilmi,5,2 jam lalu,N/A,N/A,Tidak
5,N/A,cheryl madina27,5,4 jam lalu,N/A,N/A,Tidak
6,N/A,mayhexca calya,5,4 jam lalu,"bagus tempatnyaa, cloud choco nya enak bangett",N/A,Tidak
7,N/A,Atifa Gandes,5,4 jam lalu,"baguss bangettt suka, tempatnya comfy, mas mas sm mba mbanya ramah banget, top dehhhh, wajib kesini, CLOUD MATCHANYA juga enakkkk banget sukasukaa",N/A,Tidak
8,N/A,azaria rona,5,4 jam lalu,tempatnya keren buat foto foto!! worth the pricee,N/A,Tidak
9,N/A,Daniel Wicaksono,5,4 jam lalu,"Pelayanan sangat ramah, dapat free bakpia… overall kopi 9,5/10 mantapp enak-enak. Rekomendasi dr sy hazelnut latte nya oke 👍🏼 banyak spot foto” cocok utk anak muda",N/A,Tidak
10,N/A,Amadio Iqbal,5,4 jam lalu,"Pelayanan ramah, coffenya enak cocok buat yang mau coba ngopi disini, recomended banget klo lagi di jogja",N/A,Tidak
11,N/A,Wahyu Joko Satrio,5,4 jam lalu,"pelayanan sangat ramah, tempat enak, suasana untuk gen Z sangat oke kopinya pun enak enak",N/A,Tidak
12,N/A,Arta Haqi,5,4 jam lalu,Enak pol pol,N/A,Tidak
13,N/A,Mariska Kristina,4,7 jam lalu,N/A,N/A,Tidak
14,N/A,tri mastuti nanik,5,8 jam lalu,N/A,N/A,Tidak
15,N/A,Amal _baik,5,8 jam lalu,Tempat nya nyaman,N/A,Tidak
16,N/A,Seva12 Adit,5,8 jam lalu,"Pelayanannya bagus dan sopan, minumanya juga enak",N/A,Tidak
17,N/A,Malika Zivanna Az.,5,8 jam lalu,N/A,N/A,Tidak
18,N/A,ramandafaldan 30,5,8 jam lalu,tempatnya asik nyaman poll,N/A,Tidak
19,N/A,Farah CP,5,8 jam lalu,N/A,N/A,Tidak
20,N/A,Tindi Azzahra,5,8 jam lalu,KEREN BGT WOW WOWZZZZZ tempatnya dingin dn cozy bgt!!?!!? minumannya juga enak enak sekali! sangat amat worth it buat yg pengen duduk duduk santai di sini!!,N/A,Tidak
21,N/A,Aditya Fp,5,23 jam lalu,N/A,N/A,Tidak
22,N/A,akbar prabowo,5,23 jam lalu,"Tempatnya terjangkau dan nyaman, sangat direkomendasikan.",N/A,Tidak
23,N/A,Yuan Pratiwi,5,23 jam lalu,N/A,N/A,Tidak
24,N/A,fitri salwa,5,23 jam lalu,N/A,N/A,Tidak
25,N/A,Dimas Alvriyadi,5,23 jam lalu,pw bangett,N/A,Tidak
26,N/A,Fahreza Kevin,5,23 jam lalu,N/A,N/A,Tidak
27,N/A,aviva Pradasyah,5,23 jam lalu,Bagussss,N/A,Tidak
28,N/A,roha ais,5,23 jam lalu,"kopinya enak, tempatnya bagus",N/A,Tidak
29,N/A,shaveyza,5,23 jam lalu,"tempatnya baguss, cantik buat foto foto",N/A,Tidak
30,N/A,Selvia Juwita,5,1 hari lalu,so cuteeee🤩dari solo ke jogjaaa ga sia2.,N/A,Tidak
31,N/A,Fahmi Yahya,3,1 hari lalu,"yah oke aja buat kalian yang suka spot foto skena estetik, mungkin kitanya aja yang ekspektasi nya ketinggian, space nya luas sih 50 muat kali kalo mau bawa rombongan ibu-ibu RT",N/A,Tidak
32,N/A,Vinda E.W,5,1 hari lalu,N/A,N/A,Tidak
33,N/A,suratmin azzahra,5,1 hari lalu,N/A,N/A,Tidak
34,N/A,nasywa,5,1 hari lalu,N/A,N/A,Tidak
35,N/A,syaa,5,1 hari lalu,kerenss,N/A,Tidak
36,N/A,Farhan Yazid An.,5,1 hari lalu,Cakep,N/A,Tidak
37,N/A,diatas meja,5,1 hari lalu,Mantap futuristik,N/A,Tidak
38,N/A,Imelda Safa'at,5,2 hari lalu,tempatnya bagus banget ih suka deh,N/A,Tidak
39,N/A,dinda novita rahmadani,5,2 hari lalu,cozy parah!,N/A,Tidak
40,N/A,Yesi Theodora Pote,5,2 hari lalu,"Tempatnya oke bgtt buat nongkii, banyak spacee aestetic buat foto-foto",N/A,Tidak
41,N/A,Tri Wahyuningsih,5,2 hari lalu,"Nyamannn, estetik",N/A,Tidak
42,N/A,Endah Wati,5,2 hari lalu,N/A,N/A,Tidak
43,N/A,Nuri Khusnaini,5,2 hari lalu,"staffnya ramah, tempatnya asik bgtt, banyak spot foto yg suka foto pasti gaakan bosen.
disediain pensil warna sama kertas jugaa jadi bisa nongki sambil gambar wkwk",N/A,Tidak
44,N/A,Chelsia Oktalisa,5,2 hari lalu,"bagus banget! pertama kali di sini bersama teman-teman, bener-bener suasananya bagus, cozy, kalcer, ga bosenin! fix jadi salah satu tempat fav sih!",N/A,Tidak
45,N/A,Salsa Ardiyah Chaniago (caca),5,2 hari lalu,tempatnya bagus buat foto2,N/A,Tidak
46,N/A,indriani dwi octy nurbetty,5,2 hari lalu,bagussss estetikkk🤩,N/A,Tidak
47,N/A,Fani Wulandari,5,2 hari lalu,"bagus banget coffeshop nyaa, wajib kesini sihhh😍😍😍",N/A,Tidak
48,N/A,Dwiana Candra Gumilar,5,2 hari lalu,N/A,N/A,Tidak
49,N/A,Atiqotuz Zulfa,5,2 hari lalu,seru dan asik,N/A,Tidak
50,N/A,Salsabila Dwi Utami,5,2 hari lalu,N/A,N/A,Tidak
51,N/A,matcha coffe,5,2 hari lalu,N/A,N/A,Tidak
52,N/A,Wafa Fauzia,5,2 hari lalu,N/A,N/A,Tidak
53,N/A,Yuni Wahyuni,5,2 hari lalu,N/A,N/A,Tidak
54,N/A,aylee a,5,2 hari lalu,okeee bangett temptnya rekomen tempat nongkrong anak muda dijogja,N/A,Tidak
55,N/A,rokum puu,5,2 hari lalu,N/A,N/A,Tidak
56,N/A,rphilesia,5,2 hari lalu,👍🏻👍🏻👍🏻,N/A,Tidak
57,N/A,Indah Sari,5,2 hari lalu,SERUWWW ENAKKK JUGKKKK,N/A,Tidak
58,N/A,Bintang Ramadhan,5,3 hari lalu,N/A,N/A,Tidak
59,N/A,Adam Kusuma Aji,5,3 hari lalu,Tempat yang sangat bagus & kopi yang enak.,N/A,Tidak
60,N/A,Alfian Admad Nur (Alfian),5,3 hari lalu,Terbaik,N/A,Tidak
61,N/A,Kutu Bngsd,5,3 hari lalu,pelayanan oke,N/A,Tidak
62,N/A,cruella,5,3 hari lalu,N/A,N/A,Tidak
63,N/A,Lucy Indah Permatasari,5,3 hari lalu,"first time kesini bener” ga expect bakal se ramah itu karyawannya, pelayanannya okey bgt minumannya juga enak, yg kusuka sama cloud coffe, tempatnya estetic bgttt lop pokonya",N/A,Tidak
64,N/A,Indah Indriani,5,3 hari lalu,Pelayanan sangat baik dan ramah☺️,N/A,Tidak
65,N/A,Murni Kurnia,5,3 hari lalu,"tempat nya bagusss, banyak spot foto. Rekomend bgttt pokoknyaaaa",N/A,Tidak
66,N/A,Diana Puspita,5,3 hari lalu,Estetika parahh,N/A,Tidak
67,N/A,nacheyy,5,3 hari lalu,N/A,N/A,Tidak
68,N/A,Rii Raverie,5,3 hari lalu,N/A,N/A,Tidak
69,N/A,Napoleon Akbar,5,3 hari lalu,N/A,N/A,Tidak
70,N/A,Desy Ratnasari,5,3 hari lalu,N/A,N/A,Tidak
71,N/A,Gyaa Agussafar,5,3 hari lalu,N/A,N/A,Tidak
72,N/A,Zaydan Dzaka,5,3 hari lalu,"tempatnya santai,minumannya enak",N/A,Tidak
73,N/A,Adinata Satwika,5,4 hari lalu,Enak nyaman  ~ rayhan,N/A,Tidak
74,N/A,5_ Alwi Ikhsan,5,4 hari lalu,N/A,N/A,Tidak
75,N/A,Naufal Rahman,5,4 hari lalu,rayhan baik,N/A,Tidak
76,N/A,Davinadriano 07,5,4 hari lalu,pelayanan ramah karena ada teman saya rayhan apirant,N/A,Tidak
77,N/A,Kindri,5,4 hari lalu,N/A,N/A,Tidak
78,N/A,Muhammad Alwan,4,4 hari lalu,"tempat yang sangat cocok untuk orang yg menyukai aesthetic place dan dengan tema urban kontemporer mungkin, dan memiliki live music dengan tema sesuai mood",N/A,Tidak
79,N/A,Putra Danisa Muhammad Dava,5,5 hari lalu,N/A,N/A,Tidak
80,N/A,Fc Mobileea,5,5 hari lalu,N/A,N/A,Tidak
81,N/A,Itzme Araa,5,5 hari lalu,N/A,N/A,Tidak
82,N/A,dila Mitanurrahmasari,5,5 hari lalu,N/A,N/A,Tidak
83,N/A,frida devy,5,5 hari lalu,N/A,N/A,Tidak
84,N/A,ajimaba uny,5,5 hari lalu,"kopi nya enak sekali dan pelayanan nya ramah ramah kaya mas rayhan, cocok buat nongkrong bareng temen",N/A,Tidak
85,N/A,Karina Putri,5,5 hari lalu,"asikk banget, murah2, pelayanannya okee bgt",N/A,Tidak
86,N/A,Resniani Nurul,5,5 hari lalu,N/A,N/A,Tidak
87,N/A,raihana syadza,5,5 hari lalu,N/A,N/A,Tidak
88,N/A,Vallerian Vida Sanjaya,5,6 hari lalu,N/A,N/A,Tidak
89,N/A,Novin Riza Hanani,5,6 hari lalu,Cukup affordable untuk cafe sekitaran Malioboro + cozy dan estetik untuk foto2,N/A,Tidak
90,N/A,Fajar Dwi Atmaja,5,6 hari lalu,N/A,N/A,Tidak
91,N/A,Anindita Suci Febianingsih,5,seminggu lalu,"dateng kesini pas mau ada event hallowen gitu, tempatnya anak skena jogja ga sih??!! hahaha suka sih sama ambiencenya, redup gelap gitu hihi ga usah malu kalau mau foto2 karena banyak juga kok yang foto hehe ada photobooth juga lhoo. suka banget sama donat dan matchanya ini, the bessttt siihhh👍🏻",N/A,Tidak
92,N/A,Atha Safiq,5,seminggu lalu,N/A,N/A,Tidak
93,N/A,M.AndroMeda Fonsula,5,seminggu lalu,"tempat nyaman, harga affordable, tempat kalcer cocok buat foto foto, kopi the best pistachio matcha",N/A,Tidak
94,N/A,Rafi Athallah,5,seminggu lalu,Tempatnya nyaman dan bagus cocok untuk kaum muda spot foto,N/A,Tidak
95,N/A,Nur Reza Maulana,5,seminggu lalu,Bagus tempatnya esktetik buat nongkrong anak muda,N/A,Tidak
96,N/A,Herlambang Putra Nugroho,5,seminggu lalu,nyaman banget tempatnya,N/A,Tidak
97,N/A,aNabila Azahra,5,seminggu lalu,N/A,N/A,Tidak
98,N/A,Haliyyah Amaliyah,5,seminggu lalu,N/A,N/A,Tidak
99,N/A,Dimas Andy Bayu Perwira,5,seminggu lalu,N/A,N/A,Tidak
100,N/A,Farrel First,5,seminggu lalu,N/A,N/A,Tidak
101,N/A,okvita gisya,5,Diedit seminggu lalu,"ini bukan gimmick,tapi beneran bintang 5 banget! tempat nya asik,mba & mas nya ramah ramah🤗 waktu makan garpu ku jatoh dgn gercep diganti garpu baru dong,makasi ya mbaa",N/A,Tidak
102,N/A,Marshal Niwandhana,5,seminggu lalu,hebat bikin teler,N/A,Tidak
103,N/A,khania badzlin,5,seminggu lalu,Sangat direkomendasikan🚀⭐️🛸👽,N/A,Tidak
104,N/A,dhira fayazanie,5,seminggu lalu,N/A,N/A,Tidak
105,N/A,Bella Tsaabitah,5,seminggu lalu,N/A,N/A,Tidak
106,N/A,Titoal Catraz,5,seminggu lalu,N/A,N/A,Tidak
107,N/A,Muh. Aizarul Ilham,5,seminggu lalu,mas pais ganteng bgtttt,N/A,Tidak
108,N/A,okt,5,seminggu lalu,N/A,N/A,Tidak
109,N/A,ulvania 04,5,seminggu lalu,aku suka itu,N/A,Tidak
110,N/A,Zelda Zhafira,5,seminggu lalu,JOSSS,N/A,Tidak
111,N/A,Gibran Muhammad Atthallah,5,seminggu lalu,JOSS enak bakpia nya,N/A,Tidak
112,N/A,Kartika Dewi,5,seminggu lalu,N/A,N/A,Tidak
113,N/A,Navita Dewi,5,seminggu lalu,N/A,N/A,Tidak
114,N/A,Rifka Farah,5,seminggu lalu,Tempat gokil 🙌🏼 …,N/A,Tidak
115,N/A,Naii,5,seminggu lalu,"kopinya enak, tempatnya keren banget cocok buat foto-foto, seru banget!",N/A,Tidak
116,N/A,Andin Palar,5,seminggu lalu,percaya atau tidak,N/A,Tidak
117,N/A,Yova Yova,5,seminggu lalu,"bagus, rekomen bgt kalau liburan ke jogja",N/A,Tidak
118,N/A,rika oktaaa,5,seminggu lalu,"asthetic banget,minumnya enak",N/A,Tidak
119,N/A,suci wdrm,5,seminggu lalu,waw enaa banget !! 🥰🥰🥰,N/A,Tidak
120,N/A,salsa eka saputri,5,seminggu lalu,rekomen bgt buat nongkii suka bgt pokoknya 🤍💗,N/A,Tidak
121,N/A,Afifah Rahmadani,5,seminggu lalu,rekomen buat nongki😍😍 …,N/A,Tidak
122,N/A,Galang Rampudintar,5,seminggu lalu,N/A,N/A,Tidak
123,N/A,foto video,5,seminggu lalu,ih tempatnya bener bener kalcer gokil lah selalu pengen balik lagi kesinii,N/A,Tidak
124,N/A,elysaa,5,seminggu lalu,N/A,N/A,Tidak
125,N/A,Aqilla Azzahra,5,seminggu lalu,N/A,N/A,Tidak
126,N/A,Najwa Azzahra,5,seminggu lalu,tempatnya baguss pelayanan nyaa ramahhh🫰🏻🫰🏻,N/A,Tidak
127,N/A,its only me Its okeyy,5,seminggu lalu,caffe nya sangat aesthetic dan buka 24jam,N/A,Tidak
128,N/A,Faerosa,5,seminggu lalu,N/A,N/A,Tidak
129,N/A,Oli Ola,5,seminggu lalu,N/A,N/A,Tidak
130,N/A,Ulum Bahrul,5,seminggu lalu,N/A,N/A,Tidak
131,N/A,farizz 176,5,seminggu lalu,N/A,N/A,Tidak
132,N/A,nadinekaylaaa kayla,5,seminggu lalu,N/A,N/A,Tidak
133,N/A,Revania Hermanto,5,seminggu lalu,pelayanan selalu mantep,N/A,Tidak
