no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
1,N/A,Tia erliani,5,13 jam lalu,"bagus banget tempatnya, pelayanannya rmaha banget jugaa",N/A,Tidak
2,N/A,LUTFIA CITRA,5,13 jam lalu,N/A,N/A,Tidak
3,N/A,Degan Wulung,5,19 jam lalu,N/A,N/A,Tidak
4,N/A,Hikmanursyafa,5,1 hari lalu,N/A,N/A,Tidak
5,N/A,Intan Nuraini,5,1 hari lalu,Cloud nya enak kak Enggar juga bagus pelayanannya,N/A,Tidak
6,N/A,Arjuna Panji A,5,1 hari lalu,N/A,N/A,Tidak
7,N/A,Tegar Nurul fachmi,5,1 hari lalu,N/A,N/A,Tidak
8,N/A,Reno Ajaaa,5,1 hari lalu,N/A,N/A,Tidak
9,N/A,Galih Ramadhan,5,1 hari lalu,N/A,N/A,Tidak
10,N/A,ahmadibam,5,1 hari lalu,N/A,N/A,Tidak
11,N/A,Ria Vandestha,5,1 hari lalu,N/A,N/A,Tidak
12,N/A,Vania,5,1 hari lalu,N/A,N/A,Tidak
13,N/A,Zahwa Alyla,5,1 hari lalu,N/A,N/A,Tidak
14,N/A,Aku Idamanmu,5,1 hari lalu,N/A,N/A,Tidak
15,N/A,Regita Pramesti,5,1 hari lalu,N/A,N/A,Tidak
16,N/A,Ainul Latif,5,1 hari lalu,N/A,N/A,Tidak
17,N/A,Iim Fitriya,5,1 hari lalu,N/A,N/A,Tidak
18,N/A,Ifka Fairana,5,1 hari lalu,N/A,N/A,Tidak
19,N/A,Fahri Gento,5,1 hari lalu,N/A,N/A,Tidak
20,N/A,Naning Nur,5,1 hari lalu,N/A,N/A,Tidak
21,N/A,Adelcia Safitri Islami 240101717,5,1 hari lalu,N/A,N/A,Tidak
22,N/A,Siti Nyrhalizah,5,1 hari lalu,N/A,N/A,Tidak
23,N/A,Lindi Putri,5,1 hari lalu,N/A,N/A,Tidak
24,N/A,Melisa Julianna,5,1 hari lalu,N/A,N/A,Tidak
25,N/A,Nabila Nuraini,5,1 hari lalu,N/A,N/A,Tidak
26,N/A,Ndysa lleyenala,5,1 hari lalu,"untuk minumnya enak tempatnya juga instagram abis,kak enggar juga baik",N/A,Tidak
27,N/A,clysnanaa nanaa,5,1 hari lalu,tempatnya cozy pelayanan kak enggar best banget terimakasih,N/A,Tidak
28,N/A,dzul krnkhn,5,1 hari lalu,gacorr banget dah pokonya pelayanan juga bagus parah kacau,N/A,Tidak
29,N/A,samuelth,5,1 hari lalu,N/A,N/A,Tidak
30,N/A,Lusi Lusi permata,5,1 hari lalu,N/A,N/A,Tidak
31,N/A,rafaa,5,1 hari lalu,N/A,N/A,Tidak
32,N/A,Reza Andhika,5,1 hari lalu,N/A,N/A,Tidak
33,N/A,Yogi Pratama,5,1 hari lalu,N/A,N/A,Tidak
34,N/A,luluk khuril ain,5,1 hari lalu,N/A,N/A,Tidak
35,N/A,Maulidia Tika,5,2 hari lalu,N/A,N/A,Tidak
36,N/A,anggita shifa,5,2 hari lalu,N/A,N/A,Tidak
37,N/A,Ryan Esa,5,2 hari lalu,N/A,N/A,Tidak
38,N/A,Danang Sadewa,5,2 hari lalu,N/A,N/A,Tidak
39,N/A,Chelsea Ravania,5,2 hari lalu,N/A,N/A,Tidak
40,N/A,oleev,5,2 hari lalu,N/A,N/A,Tidak
41,N/A,mie ayam,5,2 hari lalu,N/A,N/A,Tidak
42,N/A,ibaar,5,2 hari lalu,N/A,N/A,Tidak
43,N/A,Linda arsikaa,5,2 hari lalu,N/A,N/A,Tidak
44,N/A,Fitriani Wulandari,5,2 hari lalu,N/A,N/A,Tidak
45,N/A,Stefania Skia Grace,5,2 hari lalu,N/A,N/A,Tidak
46,N/A,kirana putri,5,2 hari lalu,N/A,N/A,Tidak
47,N/A,Maida El-khafi,5,2 hari lalu,N/A,N/A,Tidak
48,N/A,Erik Kurniawan,5,2 hari lalu,N/A,N/A,Tidak
49,N/A,Putri Rithalia,5,2 hari lalu,"kak aras sama kak Enggar luvv banget pelayanannya , sopan dan helpful bangett",N/A,Tidak
50,N/A,Riswa Rahman Fahmi,5,2 hari lalu,N/A,N/A,Tidak
51,N/A,Zildjian Jalu maulana “Jalu”,5,2 hari lalu,N/A,N/A,Tidak
52,N/A,Keyza nafatilova Atala sevill,5,2 hari lalu,N/A,N/A,Tidak
53,N/A,Lailia Alhawa,5,2 hari lalu,N/A,N/A,Tidak
54,N/A,Jeri bae,5,2 hari lalu,N/A,N/A,Tidak
55,N/A,fadhil akbar,5,2 hari lalu,N/A,N/A,Tidak
56,N/A,Fadhlan Nst,5,2 hari lalu,N/A,N/A,Tidak
57,N/A,young c,5,2 hari lalu,N/A,N/A,Tidak
58,N/A,Salhaeva kautsar Rohmat,5,2 hari lalu,N/A,N/A,Tidak
59,N/A,Akaylla Titan,5,2 hari lalu,N/A,N/A,Tidak
60,N/A,chelsea violeta,5,2 hari lalu,N/A,N/A,Tidak
61,N/A,Shelfi Yuwinda sari,5,2 hari lalu,N/A,N/A,Tidak
62,N/A,mhmmd rfi,5,2 hari lalu,N/A,N/A,Tidak
63,N/A,Baimm Uhuyy,5,2 hari lalu,waw pokoknya dah,N/A,Tidak
64,N/A,Wisnu Fahrezi,5,2 hari lalu,N/A,N/A,Tidak
65,N/A,kaisar ramdani,5,2 hari lalu,N/A,N/A,Tidak
66,N/A,Mochamad Nanda Juliansyah,5,2 hari lalu,N/A,N/A,Tidak
67,N/A,Nykia Albarr,5,2 hari lalu,N/A,N/A,Tidak
68,N/A,Rizqa Salsabila,5,2 hari lalu,N/A,N/A,Tidak
69,N/A,tsaltsa saparina,5,2 hari lalu,N/A,N/A,Tidak
70,N/A,Wa ode Nur hayati,5,2 hari lalu,N/A,N/A,Tidak
71,N/A,Kurnia rismarini Azizah,5,2 hari lalu,N/A,N/A,Tidak
72,N/A,Sukmawati Yusuf (Caca sukma),5,2 hari lalu,N/A,N/A,Tidak
73,N/A,MUFID M. YARBO,5,2 hari lalu,N/A,N/A,Tidak
74,N/A,RABBANI MILLATA HANIFA AUFIN,5,2 hari lalu,N/A,N/A,Tidak
75,N/A,Lilik Putri,5,2 hari lalu,N/A,N/A,Tidak
76,N/A,Evi Febry,5,2 hari lalu,N/A,N/A,Tidak
77,N/A,yudi Syahputra,5,2 hari lalu,pengalaman yang baik,N/A,Tidak
78,N/A,Derry Ramadhana,5,2 hari lalu,N/A,N/A,Tidak
79,N/A,Darvesh Miranda66,5,2 hari lalu,N/A,N/A,Tidak
80,N/A,Ayu Ulfiani,5,2 hari lalu,N/A,N/A,Tidak
81,N/A,Aulia Rahma,5,2 hari lalu,Tempatnya cozy dan nyaman,N/A,Tidak
82,N/A,Salwaaa Rdy,5,2 hari lalu,N/A,N/A,Tidak
83,N/A,Laila Mafiroh,5,2 hari lalu,N/A,N/A,Tidak
84,N/A,denss wopyu,5,2 hari lalu,asik menyenangkan pelayanannya juga ramah dan banyak tempat foto,N/A,Tidak
85,N/A,Erlando Alva Ardhani Nando,5,3 hari lalu,Barista itu menyukainya 🙏,N/A,Tidak
86,N/A,Bunga Kamilia,5,3 hari lalu,N/A,N/A,Tidak
87,N/A,Alwi Khaidar_133,5,3 hari lalu,N/A,N/A,Tidak
88,N/A,Yesita Yumna Nabila,5,3 hari lalu,N/A,N/A,Tidak
89,N/A,Yesita Yumna Nabila,5,3 hari lalu,N/A,N/A,Tidak
90,N/A,Nyasia Hampton,5,3 hari lalu,tempat bersih dan enak untuk chill,N/A,Tidak
91,N/A,Renata Radisty,5,3 hari lalu,N/A,N/A,Tidak
92,N/A,Raihan Ryamizard,5,3 hari lalu,N/A,N/A,Tidak
93,N/A,Anak Harum,5,3 hari lalu,"Ruangannya nyaman, AC-nya sejuk.",N/A,Tidak
94,N/A,06 ANNISA Nurrizqi,5,3 hari lalu,N/A,N/A,Tidak
95,N/A,Nazala Azkasya,5,3 hari lalu,N/A,N/A,Tidak
96,N/A,bintang samudra,5,3 hari lalu,N/A,N/A,Tidak
97,N/A,alindea widyaning arum putri,5,4 hari lalu,"pelayanannya ramah bgt, ada banyak spot foto""",N/A,Tidak
98,N/A,Rafif Gaming,5,4 hari lalu,N/A,N/A,Tidak
99,N/A,Tita Aisa,5,4 hari lalu,N/A,N/A,Tidak
100,N/A,Novita Marta,5,4 hari lalu,"keren banget tempatnya, cozy juga buat nongkrong, cafe kekinian dengan harga terjangkau, barista nya ramah” terutama ka anisa, dan ka Enggar GRO, makasi ya ka buat pelayanannya yang sangat ramah, sukses selaluu🫰🏻",N/A,Tidak
101,N/A,Vina Julianti,5,4 hari lalu,N/A,N/A,Tidak
102,N/A,Renanda Bagus,5,4 hari lalu,estetis,N/A,Tidak
103,N/A,M Fadhil Putra S,5,4 hari lalu,N/A,N/A,Tidak
104,N/A,Adrian Frizna Affandi,5,4 hari lalu,N/A,N/A,Tidak
105,N/A,Arsya Aditya Putra,5,4 hari lalu,N/A,N/A,Tidak
106,N/A,Avrenchandix Vicko,5,4 hari lalu,N/A,N/A,Tidak
107,N/A,caesy heydin safa majidda,5,5 hari lalu,N/A,N/A,Tidak
108,N/A,Coc Acount,5,5 hari lalu,N/A,N/A,Tidak
109,N/A,Astika Amr,5,5 hari lalu,N/A,N/A,Tidak
110,N/A,Leny diahis,5,5 hari lalu,N/A,N/A,Tidak
111,N/A,dendi.666,5,5 hari lalu,N/A,N/A,Tidak
112,N/A,Syarief Hidayat,5,5 hari lalu,N/A,N/A,Tidak
113,N/A,Ayu Listia Arifin,5,5 hari lalu,N/A,N/A,Tidak
114,N/A,DEDE IBNU HAJAR,5,5 hari lalu,N/A,N/A,Tidak
115,N/A,Muhammad Ali Rodho,5,5 hari lalu,N/A,N/A,Tidak
116,N/A,Anggie Rahma,5,5 hari lalu,N/A,N/A,Tidak
117,N/A,Bad ForYou,5,5 hari lalu,N/A,N/A,Tidak
118,N/A,Putra Danisa Muhammad Dava,5,5 hari lalu,N/A,N/A,Tidak
119,N/A,erfio egaa,5,5 hari lalu,pengalaman yang baik,N/A,Tidak
