no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
1,N/A,Viena Fernanda,5,18 jam lalu,"matcha nya enaakk , cheesecake nya jugaa enak bangeet",N/A,Tidak
2,N/A,Rillo Pambudi,5,1 hari lalu,"Anda suka nongkrong? Atau anda suka mengopi? Coba dan rasakan minuman serta makanan disini, dengan berbagai menu makanan dan minuman yang bervariasi sesuai dengan keinginan anda, baik dari coffee ataupun non-coffe, tersedia juga makanan sebagai pendamping ngobrol santai anda dengan teman, sahabat, pacar atau bahkan relasi anda.
Minuman : 9/10
Tempat : 10/10
Penilaian tersebut berdasarkan nilai pribadi, enak dan tidak enak adalah relatif, sehingga setiap orang memiliki penilaian yang berbeda. Silahkan butikan dan coba sendiri. Terima kasih.",N/A,Tidak
3,N/A,Usep Hasan Sadikin,5,1 hari lalu,"Tempat matcha terbaik untuk bertemu, bekerja, atau merenung dalam waktu lama setiap harinya.",N/A,Tidak
4,N/A,jony mbahman,5,2 hari lalu,N/A,N/A,Tidak
5,N/A,Inna Salma,5,2 hari lalu,"Tempatnya oke, lumayan luas untuk indoor dan outdoor. Buat nongki oke, buat nugas jg nyaman. Harganya masih standar, kesini ada promo happy hour tiap weekdays sampe jam 17.00 beli matcha latte sama brownies/croissant cuma 39k, bayar parkirnya di kasir sekalian",N/A,Tidak
6,N/A,Fitria Jasmine,5,Diedit 4 hari lalu,"Aku pesen matcha latte sama matcha pistachio latte yg kyoto. Enak bgt cry, kalo suka matcha yg gurih ada hint paitnya wajib kesini deh, trust me",N/A,Tidak
7,N/A,Ema Lailatus,5,5 hari lalu,"deket sama mirota kampus mana sekalian kalau mau ke mirota mampir disini dlu buat nongkrong-nongkrong, tempat
bagus nyaman dan bersih furniture-furniture juga unik dan menarik, good sih semoga owner and stafnya sukses selalu",N/A,Tidak
8,N/A,Susanto Susanto04,5,seminggu lalu,"Tempat ny asik,cakep buat foto”😊😊",N/A,Tidak
9,N/A,Riska Fitri,5,seminggu lalu,N/A,N/A,Tidak
10,N/A,erly ningrum,5,seminggu lalu,Yang terbaik❤️❤️❤️❤️,N/A,Tidak
11,N/A,Ivan Gunawan,5,seminggu lalu,Tempatnya bagus bangett,N/A,Tidak
12,N/A,Heni Ernawati,5,seminggu lalu,N/A,N/A,Tidak
13,N/A,salsa nabila,5,seminggu lalu,"Matchanya best sih enak, baru tau tempat ini 😍",N/A,Tidak
14,N/A,ameiliadewi andarusantika,5,2 minggu lalu,bagus banget suasananya ga bikin bosen cocok buat santai❤️❤️,N/A,Tidak
15,N/A,akbar diawara,5,2 minggu lalu,"untuk macha latte kyoto ori menurutku cukup enak tapi masih kurang pahit (menurutku) terus untuk moccinya ENAK BANGET dan lagi-lagi untuk sausnya kurang cocok, mending pake coklat lumer deh??? ehe",N/A,Tidak
16,N/A,Khusnul Faizah,5,2 minggu lalu,"Buat pecinta matcha wajib cobain sih ini.
Ini aku cobain yang matcha coconut (Kyoto)",N/A,Tidak
17,N/A,Herru Agasi,5,2 minggu lalu,N/A,N/A,Tidak
18,N/A,EXSPRESI MASSA,5,2 minggu lalu,Suasana yang bagus,N/A,Tidak
19,N/A,Naura Alda,5,2 minggu lalu,"Enak banget, mantap.",N/A,Tidak
20,N/A,putri AD,5,2 minggu lalu,N/A,N/A,Tidak
21,N/A,Maharani Zulfa,5,3 minggu lalu,N/A,N/A,Tidak
22,N/A,Eka Anisa Rahmawati,5,3 minggu lalu,estetik bgt tempatnya dan nyaman 👍👍,N/A,Tidak
23,N/A,Arum,5,3 minggu lalu,N/A,N/A,Tidak
24,N/A,Desri Salsabila,5,3 minggu lalu,"Minuman nya enak, cake jg juga enak",N/A,Tidak
25,N/A,hasnaadzkia,5,3 minggu lalu,"pelayanan ramah, cepat, tempat sangat nyaman buat nugas ataupun sekedar nongkrong",N/A,Tidak
26,N/A,purplyy,5,3 minggu lalu,"Enak, creamy, gak bikin eneg. Vibenya nyaman, pelayanan oke. Recommended buat pecinta matcha.",N/A,Tidak
27,N/A,klayra valerie,5,3 minggu lalu,"tempatnya nyaman, pelayanan sangat baik dan ramah.",N/A,Tidak
28,N/A,Vita Astuti,5,3 minggu lalu,N/A,N/A,Tidak
29,N/A,Tabhita,5,3 minggu lalu,N/A,N/A,Tidak
30,N/A,Kasih Juliyanti,5,3 minggu lalu,Bagus,N/A,Tidak
31,N/A,gandes fayola,5,3 minggu lalu,"minumannya enak, tempatnya nyaman, pelayanannya jugaa baguss rekomen banget deh kesini🤩🤩",N/A,Tidak
32,N/A,tata pwetty,5,3 minggu lalu,"caffenya bersihh, apalagi pelayanannya ramah kl ga sala yg namanya ka lanaa",N/A,Tidak
33,N/A,Tyas 2294,5,3 minggu lalu,Pelayanannya ramah bgt apalagi yang namanya lana,N/A,Tidak
34,N/A,Aida Zulfa,5,3 minggu lalu,tempat nya nyaman dan sangat sangatt ramah😍🤩🙌🙌🏻😋,N/A,Tidak
35,N/A,Muthia Iffa,5,3 minggu lalu,N/A,N/A,Tidak
36,N/A,Annisa Rinda Syahputri,5,3 minggu lalu,Enakkk bangettt anak saya suka sama matcha,N/A,Tidak
37,N/A,ayutias,5,3 minggu lalu,sumpah aku bisa tiap hari kesini krn sesuka itu sama matchanya😍💗,N/A,Tidak
38,N/A,rilzal,5,3 minggu lalu,"pelayanan joss, menu mantap 🤙
rekomendasi nongkrong untuk anak muda …",N/A,Tidak
39,N/A,Sultan Muhammad Yusuf,5,3 minggu lalu,Pelayanan nya ramah dan minumannya enak,N/A,Tidak
40,N/A,Afifah Gina,5,3 minggu lalu,"Ramahh, enakk, worth it, cozy",N/A,Tidak
41,N/A,Aulya Fauziah,5,3 minggu lalu,N/A,N/A,Tidak
42,N/A,Aurelia Thesaa Juliana Adi,5,3 minggu lalu,"suasananya cocok, comfy, untuk nugas juga cocok, photogenic juga, pelayanannya ramah banget, matcha cloudnya enak poll",N/A,Tidak
43,N/A,Fadilarahma Sari,5,3 minggu lalu,pelayanan ramah,N/A,Tidak
44,N/A,hesta nur asyifa,5,3 minggu lalu,Pelayanan nya ramah tempat nya nyaman dan tenang cocok buat nugas,N/A,Tidak
45,N/A,dinda sabila,5,3 minggu lalu,"Pelayanannya sangat bagus, karyawan semua ramah",N/A,Tidak
46,N/A,Rendy Aditama,5,3 minggu lalu,N/A,N/A,Tidak
47,N/A,Zechary Acoustic,5,3 minggu lalu,N/A,N/A,Tidak
48,N/A,Najwa Syazwina,5,3 minggu lalu,N/A,N/A,Tidak
49,N/A,Heskia Gloria,5,sebulan lalu,mantap kali tempatnya,N/A,Tidak
50,N/A,vomi pepy,5,sebulan lalu,"Tempatnya sesuai ekspektasi banget, jujurly aku bukan penggemar matcha.... Tapi, matcha di Machia ini bener' enak banget sumpill!! Wajib coba!!! Aku suka banget plisss pengen pesen terus' an... I am become matchacholic",N/A,Tidak
51,N/A,Dea Zahira,5,sebulan lalu,"Machia Palagan tempat nongkrong yang asyik banget buat santai dan nugas. Suasanya nyaman dan tenang, cocok buat yg pengen lepas penat sambil nikmatin matcha enak. Tempatnya juga buka 24 jam, jadi bisa datang kapan aja. Selain minuman matcha yang beragam, ada juga camilan enak yang bikin waktu nongkrong makin seru. Pokoknya, Machia Palagan jadi pilihan tepat kalau mau ngadem dan santai bareng temen atau sendiri",N/A,Tidak
52,N/A,Vallerie Sihotang,5,sebulan lalu,tempat machia sangat enak buat mengerjakan tugas dan nyaman dan sangat betah untuk lama di machia🤩,N/A,Tidak
53,N/A,29- Najwa Aliah Sarifah Balqis-XI MIPA 6,1,sebulan lalu,"photoboxnya tolong diperhatikan, masa hasil fotonya pecah pecah dan gabisa retake dengan harga segitu kurang worth it",N/A,Tidak
