no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
1,N/A,Jesi Ka,5,1 hari lalu,N/A,N/A,Tidak
2,N/A,Kindri,5,4 hari lalu,N/A,N/A,Tidak
3,N/A,Diki Wahyudi,5,5 hari lalu,N/A,N/A,Tidak
4,N/A,Yohana Eka,5,6 hari lalu,"Kesinii cobain matcha pistachionya. Tempatnyaa cocok bgt buat yg suka foto”, harga matchanya 30k an termasuk affordable",N/A,Tidak
5,N/A,rendi utomo,5,seminggu lalu,nyaman enak buat bengong,N/A,Tidak
6,N/A,Isti Komah,5,seminggu lalu,tempatnya lucu cocok banget buat ciwi2 macha kesini bestt lah pokoknya,N/A,Tidak
7,N/A,leli murtofiah,5,seminggu lalu,tempatnya nyaman buat para matcha holic rekomen bangettt,N/A,Tidak
8,N/A,Ferry Ardiansyah,5,seminggu lalu,N/A,N/A,Tidak
9,N/A,Sabrina Aprillia,5,seminggu lalu,N/A,N/A,Tidak
10,N/A,Sahara Nora,5,2 minggu lalu,N/A,N/A,Tidak
11,N/A,Lesmiyardi Jr,5,3 minggu lalu,N/A,N/A,Tidak
12,N/A,farras sari,5,3 minggu lalu,"kehujanan dan tanpa sengaja berakhir di tempat ini. Saya memesan matcha latte, dan tempatnya nyaman sekali (SAYA SUKA interiornya!)",N/A,Tidak
13,N/A,Nazila Hikmiyah,5,3 minggu lalu,"Tempatnya nyaman, ademm, no berisik. Nyaman pollll pokoknya. Minumnya jugaaa mantaff",N/A,Tidak
14,N/A,failal azmi,5,3 minggu lalu,Baguss goodd the best,N/A,Tidak
15,N/A,Nurul Qomariyah,5,3 minggu lalu,N/A,N/A,Tidak
16,N/A,meta maharani,5,3 minggu lalu,"tempatnya nyaman buat nugas, aku sukaaa cheesecake & matchanya",N/A,Tidak
17,N/A,Avivvah Sulistyowati,5,3 minggu lalu,N/A,N/A,Tidak
18,N/A,Fani Ekawati,5,3 minggu lalu,N/A,N/A,Tidak
19,N/A,Refgina,5,3 minggu lalu,N/A,N/A,Tidak
20,N/A,Finesya Aura Nadifa,5,3 minggu lalu,N/A,N/A,Tidak
21,N/A,Regina Ratri,5,3 minggu lalu,N/A,N/A,Tidak
22,N/A,Nisrina `Abida Kusumaningtyas,5,3 minggu lalu,N/A,N/A,Tidak
23,N/A,alfonsa geraldine,5,3 minggu lalu,N/A,N/A,Tidak
24,N/A,Rhezani Ajeng,5,3 minggu lalu,N/A,N/A,Tidak
25,N/A,Aminah Lutfiatur R,5,3 minggu lalu,N/A,N/A,Tidak
26,N/A,MuhammadIswinAlzafii Iswin,5,3 minggu lalu,N/A,N/A,Tidak
27,N/A,Aryasatya Rizky Pradana,5,3 minggu lalu,Tempat yang bagus,N/A,Tidak
28,N/A,Nuril gaming,5,3 minggu lalu,Keren👍🏻 …,N/A,Tidak
29,N/A,chavtan firdzan susanto,5,3 minggu lalu,"Tempat ny asik bgt,barista nya ramah”,",N/A,Tidak
30,N/A,arif arif,5,3 minggu lalu,asa lucu bangett,N/A,Tidak
31,N/A,Yosephine Stella,5,3 minggu lalu,N/A,N/A,Tidak
32,N/A,ariesca dwinda (winda),5,3 minggu lalu,"tempatnya nyaman, dingin, matchanya enak juga",N/A,Tidak
33,N/A,141_Huwaida Nailul Amani,5,3 minggu lalu,"makanan minumannya nya enakkk bgt, terutama cheesecake matcha nyaa the besstttt",N/A,Tidak
34,N/A,Hana Annisa,5,3 minggu lalu,matchanya enaaakk recomended banget 😍💚,N/A,Tidak
35,N/A,farrah aulliasari,5,3 minggu lalu,N/A,N/A,Tidak
36,N/A,Mazz Tejo Official,5,3 minggu lalu,Atas,N/A,Tidak
37,N/A,anum,5,4 minggu lalu,"Tempatnya agak kecil tapi nyaman, cozy abiss, minumnya juga oke bgtt, bagi pecinta matcha wajib cobaa🤩🫵🏻",N/A,Tidak
38,N/A,Heri Prasetyo,5,4 minggu lalu,Oke,N/A,Tidak
39,N/A,novita nuraini,5,4 minggu lalu,"tempatnyaa lucuu, matchanyaa jugaa okee
photobox price nya skitar 30kan udah dapet 2 strip (qris only)",N/A,Tidak
40,N/A,Hartini,5,sebulan lalu,"Rekomended banget tempatnya, pastry & matchanya enak bangettt gak sia sia Dateng kesini",N/A,Tidak
41,N/A,Poetoe Arga,5,sebulan lalu,"pelayanan mas ardi rama banget, humble",N/A,Tidak
42,N/A,Beatrix Maheswari,5,sebulan lalu,WORTH THE PRICE🤩🤩🤩 servicenya jg top parah + tempatnya estetik hihihi bisa foto2👍🏻👍🏻,N/A,Tidak
43,N/A,ratri maura,5,sebulan lalu,"Tempatnya comfort bgt, Instagramable ❤️",N/A,Tidak
44,N/A,Fajarr Frann,5,sebulan lalu,Makasih mas ardhi atas pelayanannya,N/A,Tidak
45,N/A,LINA OKTAVIA TRI ANJARWATI,5,sebulan lalu,N/A,N/A,Tidak
46,N/A,Anna Thasya,5,sebulan lalu,N/A,N/A,Tidak
47,N/A,Santika Efrani,5,sebulan lalu,N/A,N/A,Tidak
48,N/A,Erwin Gotawa,5,Diedit sebulan lalu,N/A,N/A,Tidak
49,N/A,Stella Natalia,5,sebulan lalu,N/A,N/A,Tidak
50,N/A,Ragilita Dwi Hapsari,5,sebulan lalu,"matchanya matcha bangettt, browniesnya enakk 😍😍😍",N/A,Tidak
51,N/A,Raksa Mahadewa,5,sebulan lalu,matchanya enak bangeet tempatnya juga comfyy trs pelayanannya okee pokoknya ga nyesel milih kesini hujan-hujan sangat-sangat menikmati,N/A,Tidak
52,N/A,aufaamndbriliani,5,sebulan lalu,N/A,N/A,Tidak
53,N/A,Nabila P Aprianata,5,sebulan lalu,"Tempatnya nyaman, pelayanan ramah, dan banyak bgt varian matcha. Yg satu ini lucu krn ada pink nya",N/A,Tidak
54,N/A,Naz,5,sebulan lalu,"Tempatnya cozy banget dan vibes-nya hijau, enak buat nongkrong. Kopinya enak, walau agak pricey tapi masih worth it. Ada photobox lucu 42k bisa cetak 4 foto + download lewat QR. Baristanya ramah dan informatif. Selain bisa treatment di superglow lantai 2, bisa nailart juga disini. Bakal balik lagi ke Machia! ☕🌿📸",N/A,Tidak
55,N/A,dilondiny,5,sebulan lalu,Tempat nya menu nya pelayanan nya jos,N/A,Tidak
56,N/A,Dwi Indah Permatasari,5,sebulan lalu,"tempatnya cozyyy dan lucuu bangetttt, minumannya enakkk bgtt sukaaaa😻😻",N/A,Tidak
57,N/A,Clarence Audrey,5,sebulan lalu,Bagus,N/A,Tidak
58,N/A,anisaa,5,sebulan lalu,N/A,N/A,Tidak
59,N/A,Anti Aprilia,5,sebulan lalu,N/A,N/A,Tidak
60,N/A,talo,5,sebulan lalu,N/A,N/A,Tidak
61,N/A,Aifa Abidah Ardelia,5,sebulan lalu,N/A,N/A,Tidak
62,N/A,Brigita Aria Dinda,5,sebulan lalu,"Lucuuu bangett tempatnyaa, seruuu parah",N/A,Tidak
63,N/A,shonia putri,5,sebulan lalu,tempatnyaa lucuu lopp bgttt,N/A,Tidak
64,N/A,Fiola Nur ‘A,5,sebulan lalu,pelayanannyaa besttt,N/A,Tidak
