no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
1,N/A,Rifdah Salsabiila,5,44 menit lalu,"Pilihan gelato nya banyak, nggak cuma gelato, ada kopi dll. Makanan juga oke. Pelayanan oke banget, ada kak Diaz juga yang ramah banget. Rekomendasi buat yg lg di Jogja",N/A,Tidak
2,N/A,Dian Anggraini,5,59 menit lalu,"Banyak varian rasa yang enak pokonya must be try. Cozy banget buat tugas atau chill aja

Nice service from Diaz. Thanks",N/A,Tidak
3,N/A,Septiani Dahlan,5,1 jam lalu,"Untuk tempatnya sangat nyaman sekali , banyak spot buat fotonya untuk hunting. Gelatonya juga enak dan pelayananya mas diaz juga sangat ramah⭐️⭐️⭐️⭐️⭐️",N/A,Tidak
4,N/A,Dewi Diana,5,1 jam lalu,"so friendly pelayanannya .. bagus banget , n enak banget gelatonya . nyaman juga tempatnya 👍🏻👍🏻👍🏻👍🏻👍🏻",N/A,Tidak
5,N/A,Nataanataa,5,1 jam lalu,"Ambiencenya oke banget kami bisa chill ngobrol sambil makan gelato,,, sempet kaget karna servicenya oke banget dikasih free minum terusu kak diaz nya juga ramah nawarin buat clean up sama refill air buat kamii,, lov lov sekali,,",N/A,Tidak
6,N/A,Reggyna Cleosa Sukmono,5,1 jam lalu,"pelayanan dari kak diaz sangat memuaskan dan semua staff disini ramah, dan rasa dari gelatonyaa enakk dan pass, tempatnya juga nyaman dan worth it to visit here 🤩👍🏻",N/A,Tidak
7,N/A,Michelle Callista,4,2 jam lalu,"Gelatonya enak, servicenya bisa ditingkatkan lagi. Yang disampaikan karyawan sudah benar, tapi cara memyampaikannya yang kurang tepat. Overall oke, bolehlah balik lagi karena gelatonya.",N/A,Tidak
8,N/A,Gilda Atalia,5,2 jam lalu,"untuk rasa makanannya kebetulan nyobain gelato dan gelatonya enak, tempatny cozy dan cantik banget untuk nongkiii nongkii dan semuaa pelayanannyaa ramah bangett dann asikk bangettt!!! rekomenn bangett!!",N/A,Tidak
9,N/A,Ribka Kesya,5,2 jam lalu,"5/5
Wajib banget dikunjungin kalo dateng ke Jogja!
Variant gelatonyaa buanyak banget, berkali"" kesini ga akan bosen dan pastinya rasanya enak bangett. Dan pastinya tempatnya cozy banget buat nongkrong cantikkk!! Paling penting kakak""nya ramah"" banget terutama kak diaz yang nawarin kitaa minummm hahahaha.",N/A,Tidak
10,N/A,kafabih Abdullah,5,9 jam lalu,"Gelatonya luar biasa. Banyak sekali jenisnya. Karyawannya rajin bgt,dibersihin mulu sampai kinclong. Rasa gelato nya enak. Gak terlalu manis. Rasa macha enak. Pas gak terlalu pahit dan manis. Kopi juga lumayan enak. Cuma kopi nya udah gelas kecil gak penuh pula. Kenapa es nya gak sekalian di penuhi. Aja",N/A,Tidak
11,N/A,Customized Official,5,9 jam lalu,"Gelato buka 24 jam cuma di sini, harga terjangkau, enak dan banyak pilihannya",N/A,Tidak
12,N/A,Yohana Eka,5,1 hari lalu,"Klo pgn gelato malem” ya kesnii soalnya 24 jam! Ada kopiii juga buat yg ga suka es krim”an, spot foto banyak !",N/A,Tidak
13,N/A,Nurul Nisa,5,1 hari lalu,"Tempatnya bagus banget, pelayanannya ramah dan sangat informatif, dan kids friendly sekali untuk anak saya yang super aktif dan ramah. Teruntuk mas Diaz sebagai GRO luar biasa.. terima kasih yaa atas keramahannya..",N/A,Tidak
14,N/A,Liza Anindya,5,1 hari lalu,"Pengalaman baruku!
Bagus ♡♡♡♡
~alfi",N/A,Tidak
15,N/A,AtiRra LatiFa,5,1 hari lalu,"nyam enak banhet matcha kyoto nya, naksir 😳 pelayanan nya ramah jugaaa worth to visitt",N/A,Tidak
16,N/A,Naufallino,5,1 hari lalu,"tempat nya nyaman sekalii dan minuman nya juga enakk
ka alfii nya juga ramah sekalii",N/A,Tidak
17,N/A,Jessica Dagur,5,1 hari lalu,"Salted caramelnya enak

Alfi",N/A,Tidak
18,N/A,Adelia Agustin,4,1 hari lalu,"pelayananya sangat baik dan ramah makanya juga enak enak
alfi",N/A,Tidak
19,N/A,Salma Aqiila,5,1 hari lalu,"udah berkali kali kesini, pelayanannnya mantap. terutama mas diaz 👋🏻",N/A,Tidak
20,N/A,Travish sekop,5,1 hari lalu,"Pelayanan baik dan nyaman, terimakasih kak diaz",N/A,Tidak
21,N/A,Risnah Risnah,5,1 hari lalu,"Tempatnya sangat nyaman dan varian gelatonya juga enak2, selain gelato juga ada snack & minuman 😍
+ GRO mas diaz ramah banget",N/A,Tidak
22,N/A,An Nastasya,5,1 hari lalu,"Ruangan yang bersih, tempat yg nyaman.
Pelayanannya sangat ramah, tepat waktu, dan hamble ☺️
Terimakasih kak diaz 🤝🙏🏻semangattttt",N/A,Tidak
23,N/A,Mursalin Mayah,5,1 hari lalu,"suasana enak, pelayanannya bagus namanya mas diaz",N/A,Tidak
