no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto,cabang,review_length,ulasan_clean,sentiment,pos_words,neg_words,sentiment_score
18,,Muhamad Teguh,5,1 hari lalu,Keren lah kata gua teh,,Tidak,1009 Palagan,22,bagus kata,positif,1,0,1
21,,Luna Triana,5,1 hari lalu,TEMPATNYA ENAK BANGET GES,,Tidak,1009 Palagan,25,tempat enak banget,positif,1,0,1
22,,Najwah Gyda Putri,5,1 hari lalu,tempatnya asyikk kalo buat nongkrong,,Tidak,1009 Palagan,36,tempat asyikk buat nongkrong,positif,0,0,0
29,,Dea Ferwita,5,2 hari lalu,Menyenangkannn,,Tidak,1009 Palagan,14,senang,positif,1,0,1
30,,Erfina Fadilla Nurrizky,5,2 hari lalu,"Menyenangkan, tempatnya lucu, masnya comel @tio",,Tidak,1009 Palagan,47,senang tempat lucu mas comel,positif,1,0,1
31,,Okta Viani,5,2 hari lalu,Tempatnya bagus nyaman,,Tidak,1009 Palagan,22,tempat bagus nyaman,positif,2,0,2
34,,Nadya,5,2 hari lalu,"Pelayanannya cepet, tempatnya aestetik bagus buat foto foto",,Tidak,1009 Palagan,59,layan cepet tempat aestetik bagus buat foto,positif,1,0,1
37,,Muhammad rifky Ardi isrianto,5,2 hari lalu,"tempatnya luas nyaman, seru buat nongkrong",,Tidak,1009 Palagan,42,tempat luas nyaman seru buat nongkrong,positif,2,0,2
38,,Tama Fikri,5,2 hari lalu,Sejauh ini semuanya berjalan baik.,,Tidak,1009 Palagan,34,jauh semua jalan baik,positif,1,0,1
39,,Nayaka Syawa annajit',5,2 hari lalu,"tempat nya nyaman, cocok untuk foto, makanannya enak",,Tidak,1009 Palagan,52,tempat nyaman cocok foto makan enak,positif,3,0,3
41,,Mitta Alfian,5,2 hari lalu,Pelayanannya bagus dan suasananya nyaman,,Tidak,1009 Palagan,40,layan bagus suasana nyaman,positif,2,0,2
