username,comment,time
@yantofebri-vr8cc,"jangankan hacker. yang di lapangan saja males"" patroli malam tidak pernah, kalo pagi cuma foto di perempatan cuma buat foto. mereka cuma gerak kalo ada duitnya. pengalam 2x lapor kehilangan cuma dapat kertas doang gak ada tindak lanjut. giliran bikin ivent di kasih amplop mau bantuin. tahun ini usaha ane jadi tempat TKP karna karyawan terlibat perselisihan. mau buka lagi musti urus ini itu dan dengan terang""an minta 4 juta buat beri ijin usaha lagi. Gk usah sebut oknum karna pas di minta di kantor. kalo 1 kantor apa itu juga oknum? gak akan bisa berubah karna sudah dari dulu watak mereka. beberapa berita setelah viral oknum di tangkap. ujung2nya yg jaga temen mereka sendiri. gak mungkin senasip narapidana yang lain",2 hari yang lalu
@CARI_DIGOOGLE_PULAU777,"rakyat juga udah pada pinter kali, masih aja pake cara primitif wkwkwk. bjorka ketawa di pojokan  noh 🤣",2 hari yang lalu
@RudiHeru-n9y,"Indonesia bukan kekurangan orang pinter tapi kekurangan orang jujur, kalau orang indonesia jujur"" pasti sekarang indonesia menjadi negara maju",8 jam yang lalu
@Garansi_Menang_di_BOSMUJUR,"Pemerintah: Bjorka tertangkap
 Bjorka: Typing...",2 hari yang lalu
@aldirahman2918,Bjorka akan hebat dimata rakyat indonesia jika mampu mencari dan mempublikasi data pejabat korup dan bukti korupsinya. Sehingga kita  bisa membasmi korupsi dari negara ini.,2 hari yang lalu
@dhikakcm5897,"Saya jadi inget kata2 seorang ter*ris Imam Samudra "" Anak muda kalo gak belajar teknologi nanti cari duitnya kaya isilop""

 Katakanlah isilop 6 bulan kerja dapet 18 jt, tapi yg menguasai teknologi gajinya 1 hari = gaji isilop 6 bulan",3 jam yang lalu
@interiortegal1527,"Jadi inget Pemilu tahun 2004, semua partai gambarnya diganti dengan buah-buahan.. dan pemerintah malah menangkap sebagai kriminal, sedangkan pihak swasta luar negeri justru merekrut sebagai teknisi profesional. Dan pelakunya adalah Admin salah satu warnet di Jogja. CMIIW",1 hari yang lalu
@cubitcubitus5384,"""Bjorka itu memberikan hiburan yang cerdas untuk masyarakat..""",2 hari yang lalu
@Redam1241Edam,"Ini baru orang benar-benar cerdas, dia tahu kelemahan masyarakat indonesia yg katanya paling ""religius"" dan mudah dikelompokkan!  Dia orang masuk ke ranah yg sensitif,  otomatis lebih aman dalam BERKONTEN YOUTUBE. .. nEtizent indonesia jadi gandrung sama Cannel ini orang karena ini orang sudah ada DIJALUR mayoritas!?!? Salut sama kecerdasan anda!!!",1 hari yang lalu
@3hintalu,Ahh... Se Indonesia juga paham seperti apa kerja polisi kita... dan kami sebagai masyarakat cuma bisa mengelus dada dan diujungnya kami akan tertawa terbahak bahak dengan semua dagelan ini...,1 hari yang lalu
@mugiwarahashirama5691,"Ketawa di awal gurulih bgt 😂😂😂
Menertawakan instansi mabes polri 😂😂",2 hari yang lalu
