username,comment,time
@yantofebri-vr8cc,"jangankan hacker. yang di lapangan saja males"" patroli malam tidak pernah, kalo pagi cuma foto di perempatan cuma buat foto. mereka cuma gerak kalo ada duitnya. pengalam 2x lapor kehilangan cuma dapat kertas doang gak ada tindak lanjut. giliran bikin ivent di kasih amplop mau bantuin. tahun ini usaha ane jadi tempat tkp karna karyawan terlibat perselisihan. mau buka lagi musti urus ini itu dan dengan terang""an minta 4 juta buat beri ijin usaha lagi. gk usah sebut oknum karna pas di minta di kantor. kalo 1 kantor apa itu juga oknum? gak akan bisa berubah karna sudah dari dulu watak mereka. beberapa berita setelah viral oknum di tangkap. ujung2nya yg jaga temen mereka sendiri. gak mungkin senasip narapidana yang lain",2 hari yang lalu
@garansi_menang_di_bosmujur,"pemerintah: bjorka tertangkap
 bjorka: typing...",2 hari yang lalu
@rudiheru-n9y,"indonesia bukan kekurangan orang pinter tapi kekurangan orang jujur, kalau orang indonesia jujur"" pasti sekarang indonesia menjadi negara maju",9 jam yang lalu
@aldirahman2918,bjorka akan hebat dimata rakyat indonesia jika mampu mencari dan mempublikasi data pejabat korup dan bukti korupsinya. sehingga kita  bisa membasmi korupsi dari negara ini.,2 hari yang lalu
@interiortegal1527,"jadi inget pemilu tahun 2004, semua partai gambarnya diganti dengan buah-buahan.. dan pemerintah malah menangkap sebagai kriminal, sedangkan pihak swasta luar negeri justru merekrut sebagai teknisi profesional. dan pelakunya adalah admin salah satu warnet di jogja. cmiiw",1 hari yang lalu
@cari_digoogle_pulau777,"rakyat juga udah pada pinter kali, masih aja pake cara primitif wkwkwk. bjorka ketawa di pojokan  noh 🤣",2 hari yang lalu
@3hintalu,ahh... se indonesia juga paham seperti apa kerja polisi kita... dan kami sebagai masyarakat cuma bisa mengelus dada dan diujungnya kami akan tertawa terbahak bahak dengan semua dagelan ini...,1 hari yang lalu
@rofikpatrang,"sebaik2 manusia adalah yg bermanfaat bagi orang lain, dan seburuk2 manusia adalah polisi indonesia...",2 hari yang lalu
@cubitcubitus5384,"""bjorka itu memberikan hiburan yang cerdas untuk masyarakat..""",2 hari yang lalu
@h_awal88,"tajam sekali kata² teguh ""tidak ada prestasi, mungkin butuh prestasi"".😂",10 jam yang lalu
@jobin380,"pelajaran buat kita semua. kalo nyari karyawan itu bukan karena di sogok, bukan karena kenalan, bukan karena keluarga tapi yg dilihat adalah kemampuan. bukan umur, bukan pendidikan, bukan agama, bukan ras, bukan gender",2 hari yang lalu
@deguztione,"dari dulu indonesia gak kekurangan orang pintar, tapi kekurangan orang jujur",1 hari yang lalu
@mugiwarahashirama5691,"ketawa di awal gurulih bgt 😂😂😂
menertawakan instansi mabes polri 😂😂",2 hari yang lalu
@dhikakcm5897,"saya jadi inget kata2 seorang ter*ris imam samudra "" anak muda kalo gak belajar teknologi nanti cari duitnya kaya isilop""

 katakanlah isilop 6 bulan kerja dapet 18 jt, tapi yg menguasai teknologi gajinya 1 hari = gaji isilop 6 bulan",3 jam yang lalu
@gustiariastikaputra,"duuuuhhh ampun gw mah sm kelakuan polri, asli speechless bgt..",2 hari yang lalu
@muhamadramadhan741,plot twist bjorka nya yang lagi podcastt auuuuuuuuu😂😂😂😂,1 hari yang lalu
@komatsuindonesia8753,ada anak pimpinan saya dulu namanya pak purnawan efendi dia punya anak laki2 mukin sekarang umurnya sudah 30an. waktu kecil anaknya normal pada umumnya.pas kelas sd 3 anaknya itu sakit panas n di sutik ahirnya anak itu lumpuh kedua kakinya kecil. tp dia belajar semua banyak hal dari internet...kuasa allah anak itu pintar sekali n ahli komputer n anak-anak kuliah malah banyak yg belajar dari beliau. kesimpulan stiap kekurangan pasti ada kelebihan 🙏🏻,2 hari yang lalu (diedit)
@tatanghusaini,"gara2 dia bikin akun dengan nama ""bjorka"", maka polisi menuduh dia ""bjorka""... asli gua ketawa mendengar keterangan ini",1 hari yang lalu
@denypratama3212,"bjorka klo lu baca ini,pesen gw.
""pergunakan keahlianmu utk membuka kebusukan penjahat di negeri ini,dengan caramu sendiri"" sbg bukti rasa nasionalisme terhadap republik indonesia.",1 hari yang lalu
@redam1241edam,"ini baru orang benar-benar cerdas, dia tahu kelemahan masyarakat indonesia yg katanya paling ""religius"" dan mudah dikelompokkan!  dia orang masuk ke ranah yg sensitif,  otomatis lebih aman dalam berkonten youtube. .. netizent indonesia jadi gandrung sama cannel ini orang karena ini orang sudah ada dijalur mayoritas!?!? salut sama kecerdasan anda!!!",1 hari yang lalu
@fuadriyadi366,tsunami fakta 😂,2 hari yang lalu
@satrioarif1796,fakta,2 hari yang lalu
@aries_bast,belum pernah sekalipun nemu polisi di lingkunganku yg jujur & kerja ga males2an 😂,2 hari yang lalu
@anjasanggara2145,fakta yang sangat nyata,2 hari yang lalu
@evinsaputra6585,mahkotamu king👑👑,2 hari yang lalu
@ajunkgraca4992,"faktanya begitu, negara hukum seperti tanpa petugas hukum.",2 hari yang lalu
@bobyenugraha3811,"suka kak patroli malem,, tp nyamperin kang miras,, kang parkir,, tmpat karoke,, club malem bar trus mereka salaman 😂🤣",2 hari yang lalu
@dwiandika-t7w,terlalu fakta 😂,2 hari yang lalu
@lippo39,real😂,2 hari yang lalu
@jokonarimo1899,yg cuma foto2 itu lho...beneeer bgt..😂,2 hari yang lalu
@christytolissautboydenpard2794,nah itu dia pelaku pencipta lapangan kerja malah di persulit ya? pdhl dampak mengurangi kemiskinan negara ini sangt berpengaruh dan ini malah di persulit ya gmna ormas2 lainnya juga bs ikutan minta jatah y?? yg kita anggap pelindung rakyat ini aja ikut malak.. harusny 1 kantor itu di pecat aja smuanya dan di miskin kan bahkan klo perlu hukum mati 1 kantor biar ad efek jera  dan g brni lgi bermain dgn hukum...dijamin negara ni maju kayk china.,2 hari yang lalu
@azwarmudhori7903,"bener banget..
saya juga pernah ngalamin lagi lari pagi tiba tiba ada mobil polisi mberhentiin..
apa sy punya salah..
eeee tidak taunya cuma suruh motoin doang...",2 hari yang lalu
@zeanrea5287,"bener sih, padahal harusnya patroli rutin, jadi mencegah kejahatan, lha ini mencegah kagak, kalo warga nangkep malingnya malah dibebasin",2 hari yang lalu
@l.334-e9l,jangankan bjorka yg level dewa bandar judol yg di depan mata aja gak mampu mereka tangkap 😂😂,2 hari yang lalu
@setyaalfitrah8659,"betul, saya juga sering liat, polisi poto2 doang. perutnya buncit2 pula. 🤐",2 hari yang lalu
@ferrultrasncfc,oalah wkwkwk,2 hari yang lalu
@alfiqranian7933,kelas,2 hari yang lalu
