username,comment,time,tokens
@yantofebri-vr8cc,"jangankan hacker. yang di lapangan saja males"" patroli malam tidak pernah, kalo pagi cuma foto di perempatan cuma buat foto. mereka cuma gerak kalo ada duitnya. pengalam 2x lapor kehilangan cuma dapat kertas doang gak ada tindak lanjut. giliran bikin ivent di kasih amplop mau bantuin. tahun ini usaha ane jadi tempat tkp karna karyawan terlibat perselisihan. mau buka lagi musti urus ini itu dan dengan terang""an minta 4 juta buat beri ijin usaha lagi. gk usah sebut oknum karna pas di minta di kantor. kalo 1 kantor apa itu juga oknum? gak akan bisa berubah karna sudah dari dulu watak mereka. beberapa berita setelah viral oknum di tangkap. ujung2nya yg jaga temen mereka sendiri. gak mungkin senasip narapidana yang lain",2 hari yang lalu,"['jangankan', 'hacker', '.', 'yang', 'di', 'lapangan', 'saja', 'males', ""''"", 'patroli', 'malam', 'tidak', 'pernah', ',', 'kalo', 'pagi', 'cuma', 'foto', 'di', 'perempatan', 'cuma', 'buat', 'foto', '.', 'mereka', 'cuma', 'gerak', 'kalo', 'ada', 'duitnya', '.', 'pengalam', '2x', 'lapor', 'kehilangan', 'cuma', 'dapat', 'kertas', 'doang', 'gak', 'ada', 'tindak', 'lanjut', '.', 'giliran', 'bikin', 'ivent', 'di', 'kasih', 'amplop', 'mau', 'bantuin', '.', 'tahun', 'ini', 'usaha', 'ane', 'jadi', 'tempat', 'tkp', 'karna', 'karyawan', 'terlibat', 'perselisihan', '.', 'mau', 'buka', 'lagi', 'musti', 'urus', 'ini', 'itu', 'dan', 'dengan', 'terang', ""''"", 'an', 'minta', '4', 'juta', 'buat', 'beri', 'ijin', 'usaha', 'lagi', '.', 'gk', 'usah', 'sebut', 'oknum', 'karna', 'pas', 'di', 'minta', 'di', 'kantor', '.', 'kalo', '1', 'kantor', 'apa', 'itu', 'juga', 'oknum', '?', 'gak', 'akan', 'bisa', 'berubah', 'karna', 'sudah', 'dari', 'dulu', 'watak', 'mereka', '.', 'beberapa', 'berita', 'setelah', 'viral', 'oknum', 'di', 'tangkap', '.', 'ujung2nya', 'yg', 'jaga', 'temen', 'mereka', 'sendiri', '.', 'gak', 'mungkin', 'senasip', 'narapidana', 'yang', 'lain']"
@garansi_menang_di_bosmujur,"pemerintah: bjorka tertangkap
 bjorka: typing...",2 hari yang lalu,"['pemerintah', ':', 'bjorka', 'tertangkap', 'bjorka', ':', 'typing', '...']"
@rudiheru-n9y,"indonesia bukan kekurangan orang pinter tapi kekurangan orang jujur, kalau orang indonesia jujur"" pasti sekarang indonesia menjadi negara maju",9 jam yang lalu,"['indonesia', 'bukan', 'kekurangan', 'orang', 'pinter', 'tapi', 'kekurangan', 'orang', 'jujur', ',', 'kalau', 'orang', 'indonesia', 'jujur', ""''"", 'pasti', 'sekarang', 'indonesia', 'menjadi', 'negara', 'maju']"
@aldirahman2918,bjorka akan hebat dimata rakyat indonesia jika mampu mencari dan mempublikasi data pejabat korup dan bukti korupsinya. sehingga kita  bisa membasmi korupsi dari negara ini.,2 hari yang lalu,"['bjorka', 'akan', 'hebat', 'dimata', 'rakyat', 'indonesia', 'jika', 'mampu', 'mencari', 'dan', 'mempublikasi', 'data', 'pejabat', 'korup', 'dan', 'bukti', 'korupsinya', '.', 'sehingga', 'kita', 'bisa', 'membasmi', 'korupsi', 'dari', 'negara', 'ini', '.']"
@interiortegal1527,"jadi inget pemilu tahun 2004, semua partai gambarnya diganti dengan buah-buahan.. dan pemerintah malah menangkap sebagai kriminal, sedangkan pihak swasta luar negeri justru merekrut sebagai teknisi profesional. dan pelakunya adalah admin salah satu warnet di jogja. cmiiw",1 hari yang lalu,"['jadi', 'inget', 'pemilu', 'tahun', '2004', ',', 'semua', 'partai', 'gambarnya', 'diganti', 'dengan', 'buah-buahan', '..', 'dan', 'pemerintah', 'malah', 'menangkap', 'sebagai', 'kriminal', ',', 'sedangkan', 'pihak', 'swasta', 'luar', 'negeri', 'justru', 'merekrut', 'sebagai', 'teknisi', 'profesional', '.', 'dan', 'pelakunya', 'adalah', 'admin', 'salah', 'satu', 'warnet', 'di', 'jogja', '.', 'cmiiw']"
@cari_digoogle_pulau777,"rakyat juga udah pada pinter kali, masih aja pake cara primitif wkwkwk. bjorka ketawa di pojokan  noh 🤣",2 hari yang lalu,"['rakyat', 'juga', 'udah', 'pada', 'pinter', 'kali', ',', 'masih', 'aja', 'pake', 'cara', 'primitif', 'wkwkwk', '.', 'bjorka', 'ketawa', 'di', 'pojokan', 'noh', '🤣']"
@3hintalu,ahh... se indonesia juga paham seperti apa kerja polisi kita... dan kami sebagai masyarakat cuma bisa mengelus dada dan diujungnya kami akan tertawa terbahak bahak dengan semua dagelan ini...,1 hari yang lalu,"['ahh', '...', 'se', 'indonesia', 'juga', 'paham', 'seperti', 'apa', 'kerja', 'polisi', 'kita', '...', 'dan', 'kami', 'sebagai', 'masyarakat', 'cuma', 'bisa', 'mengelus', 'dada', 'dan', 'diujungnya', 'kami', 'akan', 'tertawa', 'terbahak', 'bahak', 'dengan', 'semua', 'dagelan', 'ini', '...']"
@rofikpatrang,"sebaik2 manusia adalah yg bermanfaat bagi orang lain, dan seburuk2 manusia adalah polisi indonesia...",2 hari yang lalu,"['sebaik2', 'manusia', 'adalah', 'yg', 'bermanfaat', 'bagi', 'orang', 'lain', ',', 'dan', 'seburuk2', 'manusia', 'adalah', 'polisi', 'indonesia', '...']"
@cubitcubitus5384,"""bjorka itu memberikan hiburan yang cerdas untuk masyarakat..""",2 hari yang lalu,"['``', 'bjorka', 'itu', 'memberikan', 'hiburan', 'yang', 'cerdas', 'untuk', 'masyarakat', '..', ""''""]"
@h_awal88,"tajam sekali kata² teguh ""tidak ada prestasi, mungkin butuh prestasi"".😂",10 jam yang lalu,"['tajam', 'sekali', 'kata²', 'teguh', '``', 'tidak', 'ada', 'prestasi', ',', 'mungkin', 'butuh', 'prestasi', ""''"", '.😂']"
